Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA1 (UR) by GNGP Public/Private Sector"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"GNGP Public/Private Sector","National Government","State/Territory Government","Local Government","Private sector","Not stated","Not applicable","Total",
"8106709",45,9,0,58,3,159,275,
"8106712",71,9,0,92,0,209,383,
"8106710",60,14,0,89,0,158,322,
"8106701",67,14,0,83,0,197,364,
"8106714",41,9,0,63,0,148,267,
"8106716",36,13,0,71,5,108,235,
"8106707",45,23,0,97,0,110,275,
"8106719",121,27,0,141,5,119,414,
"8106713",54,10,0,85,0,186,335,
"8106718",0,0,0,9,0,245,260,
"8106715",73,18,0,96,0,202,389,
"8106703",38,7,0,95,3,139,279,
"8106704",56,10,0,90,3,180,335,
"8106706",73,14,0,106,0,228,421,
"8106705",45,7,0,94,0,205,356,
"8106702",35,4,0,47,0,180,272,
"8106717",79,13,0,103,5,177,383,
"8104628",55,16,0,125,5,157,356,
"8104636",38,9,0,116,10,146,316,
"8104637",54,9,0,94,0,153,316,
"8104617",78,30,0,161,0,240,510,
"8104605",37,6,0,102,3,113,259,
"8104618",52,18,0,117,0,194,384,
"8104622",44,15,0,105,0,187,353,
"8104613",57,26,0,135,0,178,402,
"8104630",50,15,0,97,0,161,317,
"8104616",28,14,0,66,0,106,212,
"8104602",62,19,0,174,5,177,433,
"8104625",52,19,0,172,0,182,423,
"8104604",40,15,0,88,5,124,275,
"8104606",53,17,0,112,0,169,352,
"8104626",45,21,0,119,0,161,340,
"8104635",39,17,0,97,0,125,276,
"8104609",28,8,0,105,0,149,290,
"8104634",53,22,0,104,0,150,329,
"8104601",41,13,0,79,0,106,241,
"8104619",32,24,0,105,0,165,327,
"8104620",41,20,0,115,4,144,316,
"8104627",58,18,0,114,0,180,380,
"8104623",76,31,0,186,0,214,512,
"8104621",52,22,0,126,4,157,362,
"8104614",56,9,0,102,0,144,304,
"8104603",34,15,0,85,0,113,249,
"8104607",43,5,0,81,0,86,224,
"8104629",0,0,0,5,0,29,37,
"8104624",0,0,0,0,0,0,0,
"8104719",72,29,0,140,0,177,421,
"8104715",52,11,0,88,0,148,297,
"8104716",65,22,0,137,0,211,429,
"8104711",88,29,0,141,0,238,493,
"8104706",61,19,0,111,0,163,355,
"8104710",77,22,0,138,3,196,434,
"8104703",78,18,0,191,0,189,476,
"8104707",47,13,0,53,0,74,192,
"8104717",71,21,0,202,0,233,525,
"8104702",59,15,0,106,5,194,378,
"8104718",97,16,0,170,0,224,506,
"8104708",51,9,0,94,6,177,338,
"8104709",38,9,0,61,0,171,289,
"8104713",74,23,0,117,0,236,450,
"8104712",32,18,3,95,0,154,296,
"8104701",37,8,0,121,0,132,308,
"8104704",43,3,0,80,0,107,236,
"8104705",69,28,0,136,3,196,440,
"8111301",25,8,0,76,5,142,249,
"8105807",96,23,0,145,3,294,561,
"8105812",64,11,0,136,0,162,382,
"8105811",108,18,0,117,0,258,508,
"8105808",91,20,0,179,8,224,516,
"8105809",47,25,0,97,4,173,339,
"8105802",94,18,0,130,0,230,474,
"8105814",0,0,0,0,0,7,9,
"8105806",46,14,0,86,0,156,306,
"8105804",57,10,0,84,0,164,322,
"8105803",97,18,0,127,0,167,409,
"8105813",157,29,0,154,5,209,557,
"8105801",110,27,0,133,0,276,542,
"8105805",49,12,0,63,0,128,252,
"8105810",61,13,0,90,0,137,303,
"8110702",72,25,0,222,0,324,648,
"8110701",44,10,0,86,0,199,342,
"8108603",50,24,0,135,0,233,439,
"8108601",47,21,0,94,0,149,312,
"8108602",32,17,0,85,0,109,252,
"8108605",71,31,0,153,0,210,458,
"8108604",33,8,0,78,0,112,231,
"8102301",75,36,0,135,0,246,490,
"8102303",71,29,0,155,0,247,510,
"8102307",30,5,0,32,0,515,580,
"8102305",39,19,0,99,0,166,329,
"8102306",39,19,0,92,0,178,335,
"8102304",77,27,0,146,6,253,507,
"8102302",39,9,0,86,4,138,268,
"8104813",35,20,0,81,0,158,294,
"8104801",64,8,0,123,0,146,340,
"8104808",55,19,0,134,0,168,381,
"8104803",52,19,0,110,0,117,302,
"8104809",78,22,0,142,6,229,470,
"8104802",73,24,0,189,3,219,510,
"8104814",86,22,0,178,4,248,536,
"8104811",55,15,0,91,4,170,337,
"8104810",41,16,0,120,3,136,316,
"8104805",63,24,0,173,4,250,507,
"8104804",45,25,0,110,4,191,370,
"8104807",46,13,0,102,3,166,326,
"8104806",63,15,0,105,3,134,313,
"8104812",67,36,0,159,4,253,519,
"8112601",0,0,0,0,0,0,0,
"8106801",0,0,0,0,0,5,4,
"8110806",53,10,0,121,0,189,377,
"8110802",39,14,0,55,0,114,225,
"8110807",96,31,0,132,0,288,544,
"8110804",61,17,0,136,3,261,473,
"8110801",0,0,0,0,0,0,0,
"8110805",64,26,0,111,0,224,416,
"8110803",70,28,0,165,0,275,541,
"8110904",0,0,0,0,0,0,0,
"8110908",36,65,0,123,0,166,395,
"8110907",49,50,0,94,0,126,328,
"8110906",61,65,0,160,3,153,444,
"8110910",87,45,0,118,3,167,417,
"8110911",0,0,0,0,0,0,0,
"8110903",0,0,0,3,0,0,4,
"8110905",13,17,0,65,0,160,258,
"8110914",0,0,0,0,0,3,7,
"8110901",38,16,0,67,0,128,252,
"8110913",56,18,0,56,0,97,229,
"8106909",38,10,0,112,3,179,353,
"8106903",65,24,0,98,8,169,359,
"8106902",6,4,0,83,6,195,290,
"8106904",26,10,0,81,0,239,358,
"8106906",106,21,0,156,0,296,588,
"8106905",85,22,0,169,0,303,586,
"8106907",46,17,0,101,0,175,335,
"8106901",38,5,0,91,0,165,306,
"8106908",0,0,0,0,0,0,0,
"8112704",49,8,0,77,0,140,277,
"8112703",97,31,0,141,3,191,462,
"8112701",22,14,0,77,0,239,343,
"8112702",97,17,0,164,0,271,550,
"8108703",82,34,3,204,4,267,594,
"8108701",47,16,0,148,0,213,429,
"8108707",25,18,0,91,0,144,280,
"8108704",27,11,0,91,0,133,260,
"8108706",80,36,4,203,3,276,591,
"8108705",45,25,0,180,0,222,471,
"8108702",43,26,0,134,0,170,380,
"8109501",27,12,0,60,0,156,255,
"8109508",80,29,0,123,0,259,490,
"8109502",59,12,0,90,0,171,334,
"8109504",48,13,0,78,0,223,363,
"8109505",50,27,0,135,6,249,461,
"8109507",60,29,0,95,0,190,378,
"8109506",46,8,0,83,4,166,307,
"8109509",50,24,0,85,5,182,342,
"8109503",36,12,0,66,0,139,250,
"8112801",0,0,0,0,0,0,0,
"8102406",73,29,0,97,4,202,404,
"8102405",37,24,0,69,0,152,276,
"8102407",29,5,0,122,0,141,302,
"8102408",76,21,0,138,0,275,519,
"8102402",87,23,0,132,0,315,553,
"8102401",35,11,0,61,0,140,248,
"8102404",35,13,0,64,0,143,258,
"8102403",50,16,0,118,0,185,375,
"8102504",70,29,3,151,3,284,543,
"8102501",32,16,0,82,0,192,320,
"8102506",78,23,0,148,0,297,546,
"8102502",55,25,0,143,0,193,424,
"8102503",66,32,0,148,0,232,479,
"8102505",27,22,0,87,3,132,273,
"8109603",68,25,0,142,6,321,566,
"8109604",77,19,0,57,0,363,516,
"8109605",47,13,0,78,3,182,325,
"8109601",64,14,0,95,0,212,381,
"8109602",52,18,0,95,0,174,343,
"8111302",5,4,0,70,5,195,278,
"8111307",6,3,0,91,4,118,223,
"8111305",0,0,0,7,0,30,41,
"8111309",3,0,0,9,0,8,21,
"8108804",72,24,0,158,0,153,410,
"8108808",41,21,0,116,0,137,326,
"8108807",51,31,0,165,0,215,462,
"8108806",33,15,3,116,0,145,307,
"8108801",81,27,0,195,0,205,504,
"8108810",34,8,0,57,0,104,207,
"8108803",51,22,0,156,4,148,380,
"8108802",38,18,0,104,0,128,288,
"8108809",103,32,0,187,0,236,563,
"8108805",43,16,0,118,4,174,350,
"8111002",52,31,0,138,4,232,456,
"8111003",38,12,0,88,0,114,250,
"8111005",42,17,0,97,0,139,290,
"8111006",47,20,0,96,0,141,303,
"8111001",77,24,0,138,0,245,488,
"8111004",53,16,0,133,0,218,415,
"8108501",0,0,0,0,0,0,0,
"8106006",78,24,0,142,4,196,442,
"8106013",37,3,4,30,0,66,143,
"8106012",124,18,0,122,0,175,445,
"8106003",182,45,0,168,8,165,564,
"8106007",66,12,0,96,0,161,336,
"8106002",210,18,0,185,0,337,754,
"8106011",56,12,0,79,0,114,256,
"8106009",4,3,0,75,4,167,248,
"8109005",46,16,0,112,0,194,371,
"8109019",74,17,0,141,3,268,502,
"8109011",70,36,0,128,7,233,472,
"8109014",64,23,0,138,4,261,491,
"8109018",53,18,0,96,5,174,347,
"8109003",64,27,0,144,0,230,468,
"8109010",63,37,3,145,0,275,526,
"8109007",36,23,0,129,8,241,437,
"8109013",45,26,0,99,3,137,307,
"8109008",67,23,0,154,3,215,467,
"8109016",74,25,0,142,3,245,491,
"8109015",47,23,0,89,5,157,309,
"8109009",45,16,0,92,0,155,316,
"8109006",46,19,0,104,0,173,350,
"8109020",39,8,0,91,5,155,301,
"8109017",27,8,0,59,0,87,179,
"8109002",24,10,0,53,0,74,160,
"8109001",28,6,0,56,0,117,212,
"8109012",48,18,0,77,0,121,265,
"8109004",82,40,0,163,3,254,546,
"8109707",70,25,0,104,0,208,409,
"8109702",69,18,0,105,0,205,401,
"8109701",67,20,0,104,0,288,485,
"8109703",74,23,0,111,0,201,416,
"8109705",23,9,0,62,0,118,214,
"8109706",53,21,0,87,0,152,320,
"8109708",61,19,0,110,7,190,383,
"8106108",83,22,0,138,0,256,500,
"8106107",44,15,0,95,0,172,330,
"8106101",74,13,0,100,5,238,436,
"8106109",80,19,0,97,0,207,406,
"8106112",64,10,0,90,0,153,314,
"8106103",124,19,0,115,0,164,418,
"8106114",131,31,0,215,4,184,568,
"8106113",75,11,0,86,3,124,300,
"8106118",0,0,0,3,0,5,4,
"8106115",69,13,0,73,0,137,296,
"8106110",49,14,0,115,0,175,358,
"8106102",67,8,0,99,0,166,343,
"8106111",50,20,0,66,0,179,321,
"8106106",49,14,0,69,0,108,243,
"8106119",98,27,3,108,0,204,434,
"8106117",0,0,0,0,0,0,0,
"8102607",64,26,0,107,0,230,427,
"8102606",100,27,0,129,0,291,547,
"8102601",43,13,0,95,0,155,307,
"8102603",63,24,0,109,0,185,381,
"8102602",29,14,0,58,0,106,204,
"8102605",33,3,0,66,0,129,230,
"8102604",85,27,0,120,0,248,472,
"8109814",68,23,0,118,3,184,401,
"8109810",25,3,0,59,0,84,170,
"8109808",71,26,0,110,0,221,433,
"8109807",22,17,0,74,0,268,389,
"8109809",83,38,3,114,0,266,497,
"8109804",42,10,0,37,0,153,244,
"8109801",42,25,0,72,0,238,380,
"8109806",44,11,0,85,0,150,299,
"8109802",56,14,0,92,0,163,319,
"8113301",0,0,0,4,0,0,4,
"8107004",44,12,0,82,0,166,287,
"8107001",46,11,0,71,0,158,290,
"8107005",58,7,0,121,0,226,418,
"8107007",72,18,0,158,0,218,466,
"8107008",25,3,0,91,0,131,249,
"8107003",51,13,0,123,0,251,438,
"8107006",34,19,0,86,0,154,297,
"8107002",44,24,0,148,3,229,449,
"8106008",125,15,0,157,0,215,509,
"8105305",7,0,0,106,0,296,414,
"8108010",0,0,0,0,0,0,0,
"8103909",41,10,0,91,4,170,316,
"8103915",43,15,0,90,3,160,315,
"8104415",55,17,0,106,9,131,317,
"8104426",102,21,0,172,4,231,521,
"8104410",29,6,0,75,0,74,185,
"8104414",44,17,0,63,7,121,252,
"8104714",0,0,0,0,0,0,0,
"8101904",65,29,3,162,8,184,450,
"8101905",98,23,0,178,0,233,529,
"8101918",42,17,0,105,0,118,284,
"8101902",124,39,0,223,14,241,635,
"8101914",44,18,0,88,0,119,266,
"8107514",0,0,0,0,0,0,0,
"8100622",43,16,0,81,0,165,309,
"8103506",66,15,0,126,9,191,399,
"8103501",50,14,0,113,4,135,311,
"8103505",48,13,4,110,3,156,327,
"8103520",40,12,0,121,6,136,311,
"8103522",69,32,0,112,4,146,362,
"8103815",87,22,0,114,4,174,401,
"8103809",45,12,0,87,0,174,323,
"8103807",58,21,0,102,0,118,296,
"8103804",72,20,0,139,3,209,437,
"8103806",52,12,0,98,0,114,285,
"8103813",72,7,0,89,0,177,348,
"8103808",78,21,0,115,4,187,408,
"8103814",52,17,0,107,0,165,342,
"8103810",69,19,0,97,0,164,353,
"8103811",46,19,0,82,0,123,267,
"8103604",80,22,0,151,3,203,468,
"8103610",39,18,0,135,8,104,301,
"8103608",101,35,0,190,0,256,581,
"8103601",74,24,0,203,5,199,518,
"8103616",83,30,0,186,5,220,532,
"8111501",0,0,0,0,0,0,0,
"8111502",6,0,0,50,6,60,120,
"8103805",70,19,0,115,0,143,352,
"8113101",139,28,0,106,0,91,375,
"8104027",19,7,0,72,0,102,206,
"8112001",3,0,0,13,0,23,47,
"8105301",190,23,0,191,0,326,724,
"8107314",41,21,0,92,0,121,268,
"8105113",101,12,0,86,0,76,280,
"8103910",56,28,0,181,0,136,396,
"8100215",0,0,0,0,0,0,0,
"8103911",29,15,0,85,0,62,189,
"8100206",256,51,0,552,3,705,1566,
"8103705",18,7,0,58,0,90,182,
"8113006",0,0,0,0,0,0,0,
"8103913",30,9,0,76,0,41,157,
"8103507",51,13,0,113,6,220,399,
"8103508",50,15,0,108,0,171,346,
"8105306",86,14,0,68,0,113,282,
"8108409",43,15,0,87,0,104,252,
"8103812",82,23,0,154,5,240,496,
"8103605",35,11,0,86,4,103,235,
"8113902",86,21,0,104,0,159,369,
"8113903",58,35,0,98,0,65,252,
"8103606",71,18,3,106,5,130,328,
"8113904",0,0,0,0,0,0,0,
"8109811",0,0,0,0,0,0,0,
"8109402",0,0,0,0,0,0,0,
"8101804",4,0,0,9,0,29,46,
"8111503",0,0,0,0,0,0,0,
"8103607",54,17,0,90,0,133,300,
"8103609",78,29,0,241,3,211,569,
"8103509",67,20,0,138,0,209,438,
"8113905",83,37,0,159,3,111,401,
"8113501",44,19,0,112,0,116,287,
"8100320",113,22,0,116,0,138,389,
"8113906",91,31,0,116,7,170,406,
"8103916",45,17,0,143,0,156,358,
"8103917",29,6,0,78,0,52,172,
"8101915",52,18,0,131,4,129,336,
"8104612",21,11,0,76,0,109,219,
"8110912",150,87,0,212,3,155,609,
"8112002",4,0,0,15,0,16,29,
"8100619",27,5,0,77,0,82,197,
"8100620",69,14,0,114,6,225,421,
"8113907",39,18,0,61,0,78,195,
"8109812",19,0,0,15,0,88,122,
"8103918",16,7,0,92,0,51,169,
"8109813",58,23,0,82,0,161,323,
"8103510",85,16,0,145,3,275,530,
"8103511",37,8,0,118,0,155,329,
"8103512",71,21,0,159,6,296,557,
"8103513",57,15,0,111,4,157,339,
"8103514",51,16,0,92,3,141,304,
"8103521",0,0,0,0,0,0,0,
"8103515",42,11,0,97,0,140,289,
"8103516",66,24,0,160,0,270,522,
"8103517",39,15,0,79,0,103,238,
"8103518",70,17,0,117,9,224,433,
"8103519",44,18,0,106,0,129,298,
"8111801",87,34,0,230,10,308,663,
"8103102",0,0,0,0,0,420,420,
"8103714",78,17,0,133,0,221,445,
"8103611",38,13,0,69,0,100,217,
"8103612",33,18,0,79,0,76,208,
"8103709",0,0,0,0,0,0,0,
"8103613",69,18,0,151,0,163,411,
"8103614",58,15,0,84,0,143,296,
"8103615",92,25,0,145,0,157,419,
"8103710",77,22,0,138,0,191,430,
"8103711",124,35,6,206,5,227,602,
"8103617",73,19,0,112,0,171,385,
"8103712",21,6,0,42,3,52,124,
"8103713",59,14,0,91,5,132,300,
"8111308",0,0,0,0,0,0,0,
"8104424",67,16,0,135,0,213,426,
"8101916",55,26,0,113,3,115,303,
"8113110",264,30,0,271,3,303,870,
"8113111",0,0,0,9,0,15,23,
"8101917",57,11,0,112,3,135,320,
"8101919",79,12,0,144,3,152,394,
"8104416",60,31,0,140,0,207,436,
"8104417",63,12,0,108,0,146,327,
"8104418",23,0,0,126,0,130,282,
"8104419",44,11,0,135,6,128,328,
"8104420",63,22,3,171,6,138,395,
"8104421",45,21,0,136,4,107,321,
"8113502",104,42,0,172,0,204,525,
"8104631",41,13,4,97,0,130,282,
"8104632",75,32,0,253,5,200,565,
"8113908",61,24,0,142,6,152,379,
"8113909",64,16,0,123,0,72,282,
"8113910",106,46,0,188,0,127,471,
"8113503",68,25,0,182,5,299,576,
"8113504",70,45,0,118,5,187,418,
"8104633",43,20,0,133,0,131,333,
"8112003",0,0,0,6,0,9,13,
"8106010",117,18,0,82,0,128,344,
"8104021",5,0,0,15,0,25,50,
"8104022",26,4,0,117,0,114,260,
"8104023",0,0,0,0,0,0,0,
"8111507",7,0,0,0,0,0,3,
"8105307",35,7,0,175,0,635,845,
"8105308",28,5,0,101,0,385,513,
"8106116",142,30,0,237,4,182,601,
"8103618",0,0,0,0,0,0,0,
"8107317",63,22,0,102,3,160,352,
"8108419",0,0,0,0,0,366,365,
"8103926",41,9,0,78,0,37,170,
"8103920",30,8,0,84,7,104,231,
"8103921",33,11,0,81,0,50,175,
"8112409",0,0,0,0,0,0,0,
"8104422",0,0,0,4,0,0,0,
"8101803",21,0,0,20,0,55,97,
"8108113",4,0,0,8,0,179,188,
"8104301",21,10,0,97,3,143,276,
"8112301",0,0,0,0,0,0,0,
"8104904",0,0,0,0,0,0,0,
"8107101",0,0,0,0,0,0,0,
"8107515",0,0,0,0,0,0,0,
"8100621",0,0,0,0,0,0,0,
"8103201",0,0,0,13,0,26,39,
"8111506",0,0,0,3,0,5,13,
"8114001",11,0,0,29,0,21,59,
"8113202",0,0,0,5,0,3,4,
"8113201",0,0,0,0,0,4,4,
"8108901",0,4,0,5,0,11,22,
"8114101",4,7,0,11,0,18,41,
"8101202",3,0,0,0,0,0,4,
"8109210",0,0,0,0,0,0,0,
"8111101",3,0,0,6,0,6,14,
"8111201",0,0,0,4,0,6,16,
"8104302",0,0,0,0,0,0,0,
"8113801",0,0,0,0,0,5,5,
"8111601",0,0,0,0,0,0,0,
"8114002",6,3,0,26,0,32,68,
"8113901",0,0,0,0,0,0,0,
"8111504",5,0,0,8,0,9,20,
"8114003",43,22,0,110,6,169,353,
"8111505",4,3,0,7,0,10,22,
"8112201",0,0,0,0,0,0,0,
"8101203",0,0,0,0,0,0,4,
"8114004",5,0,0,52,0,20,84,
"8112101",0,0,0,0,0,0,0,
"8111701",0,0,0,0,0,0,0,
"8111802",0,0,0,0,0,9,9,
"8113401",0,0,0,5,0,6,10,
"8113505",0,0,0,0,0,0,0,
"8113701",0,0,0,0,0,0,0,
"8113601",0,0,0,0,0,0,0,
"8112004",0,0,0,3,0,9,11,
"8979991",0,0,0,0,0,0,0,
"8949999",45,16,0,142,9,333,541,
"Total",64351,19621,375,119488,1787,191772,397393,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
