Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA1 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA1 (UR)",
"8105403",93,23,145,37,32,114,0,21,3,51,37,561,
"8105405",17,6,21,15,11,25,0,0,0,12,21,131,
"8105503",35,18,61,16,29,91,0,18,10,23,56,358,
"8105508",65,24,122,37,48,110,0,33,16,23,118,598,
"8105507",49,20,78,35,31,79,0,18,11,24,83,439,
"8105502",40,17,50,22,28,60,0,17,12,23,59,326,
"8105505",39,16,63,25,26,48,0,14,11,32,38,301,
"8105509",33,20,76,24,25,73,0,19,5,23,63,360,
"8105504",38,12,84,29,18,92,0,7,4,32,77,403,
"8105506",48,15,92,19,31,82,0,17,7,38,59,413,
"8105501",54,11,94,26,31,91,0,26,9,42,74,454,
"8109205",19,13,45,30,42,71,0,13,10,9,66,313,
"8109201",36,22,68,54,54,98,0,31,15,46,117,544,
"8109204",30,10,38,27,35,68,0,12,4,9,65,300,
"8109208",52,26,86,31,28,86,0,7,6,29,91,451,
"8109207",33,14,72,17,23,53,0,8,7,8,77,320,
"8109202",30,20,76,28,29,75,0,16,11,11,89,387,
"8109209",4,4,15,9,5,32,0,8,6,4,32,117,
"8109206",33,13,67,20,26,65,0,11,3,17,77,333,
"8109203",27,14,66,23,54,75,0,19,6,21,84,388,
"8100605",23,16,60,32,47,83,0,16,4,16,124,414,
"8100604",8,8,19,20,37,93,0,20,9,16,86,303,
"8100615",3,0,20,23,26,63,0,12,0,8,50,202,
"8100617",17,11,48,34,53,107,0,22,16,14,71,394,
"8100612",23,8,70,36,63,166,0,17,6,19,130,540,
"8100608",17,6,55,25,44,140,0,23,9,10,92,421,
"8100609",7,11,49,22,51,109,0,20,11,13,96,396,
"8100606",17,11,45,34,25,85,0,14,9,10,108,355,
"8100614",24,12,47,41,34,85,0,10,4,8,87,356,
"8100618",18,9,30,29,32,78,0,3,7,18,95,322,
"8100602",8,0,22,15,18,81,3,5,10,8,31,202,
"8100611",16,3,52,35,47,122,0,25,11,24,79,418,
"8100623",15,5,36,33,35,94,0,10,9,11,101,358,
"8100607",18,10,60,36,48,108,0,15,11,17,115,446,
"8100610",15,3,42,27,44,99,0,15,14,15,79,348,
"8100616",16,12,61,54,82,113,0,26,8,8,176,554,
"8100613",7,5,30,18,32,72,0,23,0,8,50,244,
"8112501",37,10,222,64,67,206,0,0,20,22,141,795,
"8112502",4,0,39,16,96,728,0,0,0,95,0,983,
"8100710",24,17,48,31,53,71,0,25,6,39,73,381,
"8100705",21,17,68,46,51,100,0,21,12,19,78,433,
"8100706",20,8,50,28,47,102,0,18,14,24,74,381,
"8100707",30,13,75,36,39,104,0,15,16,20,108,461,
"8100701",37,16,83,39,64,108,0,24,5,55,95,523,
"8100702",21,16,42,7,22,52,0,8,0,27,55,259,
"8100704",11,0,31,23,16,46,0,7,3,35,47,217,
"8100703",42,21,90,30,47,105,0,15,16,43,78,486,
"8100714",16,12,38,21,21,68,0,12,4,15,51,266,
"8100711",28,9,76,44,88,151,0,26,17,28,137,594,
"8100713",7,5,41,19,24,78,0,25,7,16,74,313,
"8100712",19,10,66,28,35,108,0,19,11,30,83,397,
"8100709",18,3,36,17,39,93,0,22,3,19,67,331,
"8100708",21,3,39,27,32,68,0,12,5,13,56,276,
"8107605",22,14,64,43,31,79,0,14,12,7,62,353,
"8107608",31,28,86,36,32,98,0,16,6,21,73,430,
"8107609",29,11,57,15,19,50,0,9,0,13,32,238,
"8107607",0,0,0,0,0,0,0,0,0,0,0,0,
"8107603",33,13,70,37,51,77,0,20,19,17,71,398,
"8107602",30,24,74,36,34,80,0,14,0,4,61,360,
"8107606",43,17,69,38,28,112,0,22,16,18,81,456,
"8107601",28,26,73,28,15,87,0,14,4,13,52,343,
"8107604",32,10,91,36,27,60,0,16,7,11,83,373,
"8110110",34,9,55,27,15,49,0,4,3,16,50,261,
"8110109",30,11,81,35,24,72,0,11,7,8,64,346,
"8110108",59,29,95,35,26,92,0,15,12,11,78,454,
"8110107",44,15,87,40,36,120,0,30,16,21,105,524,
"8110106",15,17,31,20,25,85,0,23,5,39,32,283,
"8110101",23,16,49,28,23,36,0,5,8,7,39,241,
"8110105",37,11,79,48,21,77,0,21,11,14,61,385,
"8110104",31,22,58,34,17,73,0,12,12,17,91,350,
"8110102",35,16,84,38,24,94,0,8,5,10,68,378,
"8109304",59,31,118,68,69,145,0,18,12,25,160,702,
"8109301",19,14,60,43,46,122,0,19,25,45,73,456,
"8109306",31,26,106,39,60,116,0,14,15,35,130,566,
"8109303",33,18,78,40,39,79,0,23,8,34,93,444,
"8109305",48,20,97,53,66,105,0,19,15,34,113,568,
"8109302",13,11,33,21,21,57,0,12,4,21,68,259,
"8100801",28,7,50,25,35,104,0,35,9,15,47,350,
"8100811",9,10,41,15,23,62,0,20,0,4,33,228,
"8100812",22,11,66,22,31,111,0,30,8,28,79,405,
"8100807",47,24,111,38,48,157,0,23,9,23,96,567,
"8100810",24,3,55,19,33,95,0,19,15,23,84,370,
"8100803",23,10,54,19,40,125,5,19,6,22,70,390,
"8100802",29,12,61,34,46,124,0,31,18,23,94,486,
"8100806",20,14,48,28,33,95,0,14,9,11,52,329,
"8100805",50,21,77,25,42,120,0,21,14,25,96,489,
"8100808",40,6,84,19,28,72,0,22,8,24,68,377,
"8100804",12,0,53,18,32,61,0,16,11,26,58,286,
"8100809",31,7,90,24,44,148,0,36,15,20,72,497,
"8100902",6,3,42,23,37,63,0,12,4,6,56,250,
"8100908",26,4,48,32,33,101,0,15,9,31,48,349,
"8100904",16,13,67,41,28,58,0,13,10,11,64,327,
"8100905",21,15,53,27,31,78,0,12,8,11,64,316,
"8100909",12,3,39,16,34,74,0,24,3,8,65,277,
"8100906",25,19,89,39,50,91,0,13,9,15,70,414,
"8100901",14,10,36,41,48,100,0,18,10,14,105,394,
"8100910",22,16,36,29,47,80,0,8,12,12,83,349,
"8100907",11,9,33,17,26,59,0,8,16,19,73,275,
"8100903",20,18,54,31,44,105,0,8,7,23,83,406,
"8106301",153,25,192,44,34,89,0,9,16,115,73,748,
"8106303",58,18,100,31,16,80,0,9,7,11,65,405,
"8106304",30,5,56,9,5,36,0,12,5,11,30,210,
"8106302",36,10,78,10,10,41,0,5,5,13,42,250,
"8101005",38,21,94,58,52,123,0,20,12,29,99,545,
"8101004",26,12,70,30,34,75,0,16,6,13,63,345,
"8101001",17,13,56,34,37,80,0,15,6,22,79,354,
"8101003",17,14,67,33,49,99,0,20,8,26,102,447,
"8101002",6,7,30,31,52,87,0,17,11,21,72,339,
"8113002",0,0,3,0,0,0,0,0,0,0,0,10,
"8113003",0,0,0,0,4,15,0,0,0,4,3,29,
"8113007",0,0,0,0,4,3,0,0,0,0,0,8,
"8113005",0,0,0,0,0,0,0,0,0,0,0,0,
"8113004",0,0,0,0,0,0,0,0,0,0,3,5,
"8110206",33,12,54,20,13,37,0,7,4,13,52,249,
"8110203",48,8,92,23,21,79,0,26,16,39,94,447,
"8110202",48,21,136,36,33,115,0,44,15,93,114,651,
"8110205",46,11,42,26,7,38,0,4,0,13,54,243,
"8110204",41,11,75,30,8,69,0,13,0,17,54,323,
"8110209",44,16,48,17,14,38,0,10,8,9,81,287,
"8110211",23,15,87,30,23,50,0,27,9,25,77,355,
"8110201",0,0,0,0,0,0,0,0,0,0,0,0,
"8110210",10,3,15,8,13,20,0,6,7,102,15,191,
"8110207",132,21,219,31,28,77,0,18,11,30,170,746,
"8107708",0,0,0,0,0,0,0,0,0,0,0,0,
"8107703",6,5,41,38,33,107,0,13,7,23,75,341,
"8107706",6,11,36,24,51,68,0,15,3,13,56,284,
"8107705",9,6,50,29,72,117,0,23,10,26,100,443,
"8107704",5,0,32,33,63,88,0,16,6,25,56,323,
"8107701",10,14,57,27,90,179,0,46,11,33,144,613,
"8107707",16,3,37,42,45,101,0,22,6,23,57,344,
"8107702",13,9,41,29,59,102,0,35,7,19,90,395,
"8101101",46,32,93,57,77,143,0,29,11,16,143,634,
"8101103",47,29,100,67,53,127,0,26,22,12,139,622,
"8101107",0,0,0,0,0,0,0,0,0,0,0,0,
"8101102",22,10,62,32,42,89,0,4,10,13,77,360,
"8101108",12,11,30,12,29,43,0,12,4,20,36,201,
"8101104",25,15,77,44,70,104,0,25,9,32,107,503,
"8101110",11,6,33,17,25,48,0,11,5,20,49,236,
"8101105",11,11,34,21,29,73,0,20,5,20,73,289,
"8101106",16,11,40,16,28,40,0,14,6,13,40,217,
"8101109",30,6,53,16,22,31,0,17,4,15,41,250,
"8107805",13,9,34,32,52,102,0,17,13,26,77,378,
"8107821",15,9,51,47,65,135,0,22,7,19,67,441,
"8107819",9,0,36,14,27,89,0,10,5,13,40,245,
"8107818",19,11,49,40,46,143,0,20,8,16,89,436,
"8107809",5,5,27,24,41,95,0,4,6,22,59,291,
"8107820",14,15,44,35,58,125,0,13,10,10,73,405,
"8107810",20,14,74,42,64,129,0,53,29,41,89,565,
"8107801",3,5,43,32,48,163,0,15,8,23,91,438,
"8107813",25,8,44,34,37,90,0,14,10,14,66,337,
"8107802",3,4,26,26,49,73,0,12,0,8,43,245,
"8107807",9,0,22,27,32,84,0,15,11,14,29,236,
"8107804",7,3,26,28,31,81,0,4,13,18,66,269,
"8107803",10,8,22,34,53,104,0,12,5,23,79,345,
"8107814",22,10,64,49,31,146,0,25,9,14,95,482,
"8107815",8,6,44,22,53,103,0,11,8,13,64,341,
"8107811",9,8,57,43,59,177,0,30,8,30,141,560,
"8107808",13,3,53,36,48,130,0,27,14,23,74,417,
"8107817",14,0,27,23,46,63,0,8,0,14,37,236,
"8107812",14,11,31,19,49,102,0,12,4,20,59,308,
"8107816",10,4,29,31,32,78,0,10,7,13,48,272,
"8107806",18,8,40,44,54,98,0,21,6,16,74,377,
"8107903",24,18,62,57,50,106,0,20,7,12,89,449,
