Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA1 by TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Rented","Being occupied rent-free","Being occupied under a life tenure scheme","Other tenure type","Not stated","Not applicable","Total",
"SA1",
"8105406",77,51,0,72,0,0,0,15,22,248,
"8105401",37,42,0,114,0,0,0,7,32,235,
"8105403",32,36,0,192,0,0,0,27,58,347,
"8105405",17,25,0,16,0,0,0,6,3,62,
"8105503",41,37,0,44,0,0,0,31,21,167,
"8105508",61,79,0,75,7,0,0,9,9,247,
"8105507",50,60,0,52,0,0,0,8,12,179,
"8105502",35,47,0,36,0,0,0,6,7,132,
"8105505",14,29,0,87,0,0,0,7,13,154,
"8105509",33,44,0,43,6,0,0,10,12,139,
"8105504",38,38,0,49,0,0,0,10,18,149,
"8105506",44,33,0,69,4,0,0,12,31,197,
"8105501",60,40,0,64,0,0,0,18,14,190,
"8109205",49,53,0,10,0,0,0,3,12,122,
"8109201",66,72,0,69,0,0,0,24,20,253,
"8109204",45,42,0,21,0,0,0,0,11,119,
"8109208",58,66,0,22,0,0,0,9,10,168,
"8109207",49,52,0,20,0,0,0,7,12,140,
"8109202",59,53,0,26,0,0,0,0,12,161,
"8109209",3,10,0,22,0,0,0,0,0,39,
"8109206",46,50,0,18,0,0,0,7,15,134,
"8109203",49,56,0,33,0,0,0,4,7,152,
"8100605",24,76,0,13,0,0,0,3,0,130,
"8100604",14,60,0,17,0,0,0,10,4,104,
"8100615",20,38,0,18,0,0,0,0,6,79,
"8100617",38,98,0,32,0,0,0,4,22,188,
"8100612",22,120,0,27,3,0,0,7,14,183,
"8100608",30,90,0,24,0,0,0,10,10,164,
"8100609",27,71,0,13,3,0,0,5,0,121,
"8100606",20,72,0,21,0,0,0,3,8,126,
"8100614",20,79,0,13,0,0,0,0,9,128,
"8100618",10,68,0,16,0,0,0,4,3,103,
"8100602",22,26,0,9,0,0,0,0,0,61,
"8100611",36,85,0,47,0,0,0,12,12,194,
"8100623",15,72,0,19,0,0,0,0,6,119,
"8100607",33,87,0,22,0,0,0,4,8,149,
"8100610",27,72,0,22,0,0,0,6,8,132,
"8100616",27,123,0,28,0,0,0,0,11,189,
"8100613",13,53,0,14,0,0,0,0,0,81,
"8112501",0,0,0,134,0,0,0,10,36,179,
"8112502",0,0,0,0,0,0,0,0,6,6,
"8100710",32,68,0,28,0,0,0,14,8,151,
"8100705",52,73,0,30,0,0,0,3,9,164,
"8100706",36,58,0,49,0,0,0,13,9,166,
"8100707",60,71,0,20,0,0,0,8,6,171,
"8100701",52,70,0,48,0,0,0,19,6,189,
"8100702",32,37,0,4,0,0,0,12,0,86,
"8100704",25,30,0,10,0,0,0,14,0,81,
"8100703",83,62,0,14,0,0,0,23,6,177,
"8100714",36,39,0,14,0,0,0,8,9,108,
"8100711",58,90,0,48,0,0,0,5,13,215,
