Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by ANC1P - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"ANC1P - 1 Digit Level","Oceanian","North-West European","Southern and Eastern European","North African and Middle Eastern","South-East Asian","North-East Asian","Southern and Central Asian","Peoples of the Americas","Sub-Saharan African","Supplementary codes","Not stated","Total",
"SA1 (UR)",
"8109702",109,235,33,0,0,5,9,0,0,0,13,401,
"8109701",124,254,43,11,10,10,16,3,0,0,20,485,
"8109703",114,237,25,4,0,10,0,0,5,5,12,416,
"8109705",50,81,9,7,0,10,21,0,0,6,20,214,
"8109706",85,165,23,0,0,7,19,0,5,0,12,320,
"8109708",88,203,34,7,5,0,8,0,8,0,33,383,
"8106108",101,246,27,5,17,16,54,5,6,0,24,500,
"8106107",54,170,33,10,11,12,17,3,0,0,13,330,
"8106101",92,227,29,0,8,10,18,9,0,0,36,436,
"8106109",82,252,29,6,3,10,6,3,0,0,19,406,
"8106112",62,151,40,3,21,4,9,0,6,0,23,314,
"8106103",89,209,30,4,11,25,21,5,0,5,23,418,
"8106114",93,245,23,6,38,44,63,3,9,3,48,568,
"8106113",53,147,17,0,5,17,32,8,4,0,25,300,
"8106118",6,0,0,0,0,0,0,0,0,0,0,4,
"8106115",74,149,18,0,0,19,7,6,10,0,13,296,
"8106110",84,183,34,5,6,10,3,7,0,0,23,358,
"8106102",73,205,27,0,10,11,10,0,0,0,7,343,
"8106111",99,179,17,0,7,4,0,3,0,5,8,321,
"8106106",74,107,26,0,9,0,10,0,0,0,15,243,
"8106119",87,231,23,0,13,18,25,5,0,0,29,434,
"8106117",0,0,0,0,0,0,0,0,0,0,0,0,
"8102607",87,235,17,9,0,14,33,0,0,0,27,427,
"8102606",134,304,43,0,0,31,18,0,0,0,13,547,
"8102601",74,180,32,5,0,4,0,4,0,0,7,307,
"8102603",85,213,35,0,0,20,11,0,6,3,12,381,
"8102602",30,113,17,0,4,9,15,0,4,0,8,204,
"8102605",61,128,24,0,6,4,3,3,3,0,3,230,
"8102604",132,244,29,0,11,34,13,0,0,0,16,472,
"8109814",95,256,19,0,7,16,8,0,0,0,14,401,
"8109810",47,88,14,0,0,5,5,0,0,0,9,170,
"8109808",98,237,38,10,4,5,17,0,4,3,12,433,
"8109807",61,140,33,4,6,6,3,0,0,0,144,389,
"8109809",134,276,40,0,5,11,9,3,0,0,20,497,
"8109804",66,139,19,0,0,4,0,0,0,0,4,244,
"8109801",71,207,9,3,11,6,10,0,4,0,63,380,
"8109806",50,167,6,0,4,10,15,3,0,0,40,299,
"8109802",77,181,20,0,5,8,8,0,0,0,10,319,
"8113301",0,0,0,0,0,0,0,0,0,0,0,4,
"8107004",49,167,27,0,12,3,5,9,0,0,19,287,
"8107001",41,159,39,4,6,10,7,0,0,0,17,290,
"8107005",65,256,36,0,0,14,9,0,0,3,23,418,
"8107007",73,235,52,12,26,24,26,3,0,0,16,466,
"8107008",48,123,19,0,9,8,8,0,7,0,21,249,
"8107003",87,272,30,5,0,12,9,3,4,0,18,438,
"8107006",39,204,12,0,0,24,9,3,0,0,7,297,
"8107002",92,244,29,3,0,15,20,7,0,7,32,449,
"8106008",39,141,16,4,26,122,46,6,6,3,105,509,
"8105305",42,138,17,5,10,165,9,0,0,0,20,414,
"8108010",0,0,0,0,0,0,0,0,0,0,0,0,
"8103909",35,77,37,9,13,69,56,0,0,0,21,316,
"8103915",36,57,19,7,34,68,67,0,3,8,9,315,
"8104415",40,88,25,0,17,68,51,12,3,0,20,317,
"8104426",63,154,12,3,29,135,82,0,3,4,28,521,
"8104410",14,28,0,0,4,83,44,0,0,0,4,185,
"8104414",60,83,17,0,10,48,28,0,3,0,13,252,
"8104714",0,0,0,0,0,0,0,0,0,0,0,0,
"8101904",84,182,23,12,38,33,65,4,6,0,8,450,
"8101905",118,248,15,0,39,28,61,0,0,3,14,529,
"8101918",43,122,3,10,20,18,46,0,6,6,16,284,
"8101902",146,258,44,7,44,23,76,6,9,10,22,635,
"8101914",54,90,15,14,14,24,33,0,6,3,11,266,
"8107514",0,0,0,0,0,0,0,0,0,0,0,0,
"8100622",62,124,34,26,4,9,21,8,0,4,15,309,
"8103506",105,124,27,8,19,16,63,3,5,3,20,399,
"8103501",51,100,14,7,4,24,94,3,5,0,12,311,
"8103505",65,93,20,0,8,30,66,0,20,4,22,327,
"8103520",51,70,17,0,18,33,71,0,17,4,15,311,
"8103522",69,140,22,12,9,20,55,7,5,0,25,362,
"8103815",81,178,26,7,12,28,60,5,0,7,10,401,
"8103809",76,125,47,0,19,13,23,0,0,0,23,323,
"8103807",70,117,15,9,5,13,53,7,0,0,0,296,
"8103804",73,178,50,8,9,56,31,0,4,3,17,437,
"8103806",66,140,26,5,4,8,20,4,4,0,8,285,
"8103813",59,103,31,3,8,56,58,0,0,0,26,348,
"8103808",51,159,23,3,16,79,53,0,4,0,17,408,
"8103814",60,138,20,13,6,34,26,3,3,0,26,342,
"8103810",83,138,23,4,12,24,51,3,3,0,3,353,
"8103811",50,123,24,0,12,15,29,10,9,0,3,267,
"8103604",108,169,28,5,7,27,55,0,4,4,45,468,
"8103610",72,127,24,0,3,17,28,4,9,3,12,301,
"8103608",112,258,31,7,18,37,55,8,14,3,25,581,
"8103601",100,211,50,7,10,35,50,12,0,15,27,518,
"8103616",134,195,62,12,14,30,50,9,16,3,14,532,
"8111501",0,0,0,0,0,0,0,0,0,0,0,0,
"8111502",31,50,5,5,0,0,0,0,0,0,19,120,
"8103805",61,173,37,17,9,22,28,0,7,0,7,352,
"8113101",70,211,18,3,5,16,7,0,4,0,39,375,
"8104027",25,60,10,0,9,29,49,0,0,5,23,206,
"8112001",7,14,3,0,0,4,7,0,0,5,4,47,
"8105301",106,297,28,17,15,89,22,9,0,3,128,724,
"8107314",64,153,10,0,22,0,0,3,0,4,13,268,
"8105113",45,138,22,4,12,22,3,0,0,0,20,280,
"8103910",44,103,24,8,17,118,60,4,5,0,19,396,
"8100215",0,0,0,0,0,0,0,0,0,0,0,0,
"8103911",28,55,3,0,11,46,28,6,4,0,16,189,
"8100206",133,393,70,55,58,472,211,17,10,9,139,1566,
"8103705",27,82,12,0,0,23,10,3,0,0,11,182,
"8113006",0,0,0,0,0,0,0,0,0,0,0,0,
"8103913",13,63,3,3,8,26,30,0,0,0,9,157,
"8103507",83,128,16,19,17,16,97,4,0,0,21,399,
"8103508",53,93,28,16,15,12,73,5,18,10,22,346,
"8105306",31,128,19,4,8,22,13,0,0,0,53,282,
"8108409",41,102,26,4,26,14,31,0,0,0,6,252,
"8103812",96,201,38,5,14,50,54,5,14,3,19,496,
"8103605",58,92,37,0,9,24,3,0,11,5,9,235,
"8113902",48,153,13,17,28,54,47,3,3,0,14,369,
"8113903",56,99,14,9,3,8,28,0,3,0,26,252,
"8103606",65,147,21,5,8,19,42,0,0,7,15,328,
"8113904",0,0,0,0,0,0,0,0,0,0,0,0,
"8109811",0,0,0,0,0,0,0,0,0,0,0,0,
"8109402",0,0,0,0,0,0,0,0,0,0,0,0,
"8101804",7,3,0,3,3,0,8,0,3,6,3,46,
"8111503",0,0,0,0,0,0,0,0,0,0,0,0,
"8103607",72,106,20,0,19,17,31,10,5,4,19,300,
"8103609",74,191,39,13,35,55,113,0,9,4,33,569,
"8103509",82,129,16,21,27,37,95,5,8,0,18,438,
"8113905",88,152,29,8,22,24,43,0,8,0,30,401,
"8113501",42,118,14,8,16,20,46,0,0,0,27,287,
"8100320",90,194,12,4,12,42,28,3,0,0,7,389,
"8113906",82,145,31,9,9,50,65,3,0,5,14,406,
"8103916",27,58,15,0,21,139,73,8,7,0,9,358,
"8103917",21,41,0,0,3,30,60,6,4,0,0,172,
"8101915",63,132,28,8,15,17,54,0,13,8,3,336,
"8104612",39,118,9,0,12,6,13,3,7,0,13,219,
"8110912",71,198,29,13,40,103,79,0,11,8,46,609,
"8112002",0,11,0,0,0,0,11,0,0,0,4,29,
"8100619",36,103,9,3,10,0,13,3,0,3,14,197,
"8100620",84,175,33,6,8,39,24,10,0,5,22,421,
"8113907",34,71,10,17,5,11,26,0,0,4,15,195,
"8109812",21,15,0,8,40,4,29,0,0,0,7,122,
"8103918",18,65,13,0,12,27,14,0,0,7,11,169,
"8109813",52,128,31,29,0,19,36,0,0,0,19,323,
"8103510",86,145,54,11,34,37,99,3,15,3,42,530,
"8103511",49,97,21,11,16,21,73,0,3,0,27,329,
"8103512",73,198,38,29,21,10,131,0,12,3,38,557,
"8103513",48,117,27,6,15,17,84,0,14,0,14,339,
"8103514",57,96,18,0,24,17,44,7,31,0,20,304,
"8103521",0,0,0,0,0,0,0,0,0,0,0,0,
"8103515",48,79,33,14,14,19,49,5,18,11,0,289,
"8103516",66,135,36,12,39,23,131,6,24,8,55,522,
"8103517",27,93,12,5,10,4,73,10,3,0,8,238,
"8103518",106,114,18,12,20,30,89,4,22,0,17,433,
"8103519",53,94,14,4,12,19,82,3,4,3,4,298,
"8111801",97,236,41,8,12,53,181,15,9,5,17,663,
"8103102",0,0,0,0,0,0,0,0,0,0,420,420,
"8103714",59,156,56,3,4,75,67,5,3,0,22,445,
"8103611",54,89,13,0,0,17,20,0,3,0,15,217,
"8103612",22,95,25,0,23,9,17,0,0,0,17,208,
"8103709",0,0,0,0,0,0,0,0,0,0,0,0,
"8103613",81,162,27,0,24,37,46,4,6,10,17,411,
"8103614",55,144,29,15,0,12,21,7,3,0,7,296,
"8103615",122,165,25,0,5,24,48,5,4,5,20,419,
"8103710",41,112,17,4,13,106,101,4,11,7,13,430,
"8103711",83,140,51,13,22,118,123,8,17,0,28,602,
"8103617",88,172,38,7,6,24,27,7,4,0,16,385,
"8103712",14,34,13,0,0,23,25,0,0,0,8,124,
"8103713",56,78,48,0,9,29,49,0,7,3,20,300,
"8111308",0,0,0,0,0,0,0,0,0,0,0,0,
"8104424",49,99,24,9,21,78,134,0,8,4,6,426,
"8101916",67,123,17,9,8,14,48,6,6,8,6,303,
"8113110",111,442,46,13,14,63,17,14,6,0,140,870,
"8113111",0,8,0,0,5,5,0,0,0,0,3,23,
"8101917",59,108,8,14,22,16,66,0,8,5,19,320,
"8101919",62,156,22,0,11,21,98,3,13,0,3,394,
"8104416",75,101,19,11,19,77,93,8,4,0,22,436,
"8104417",40,92,23,0,16,57,83,0,3,0,7,327,
"8104418",27,46,0,8,24,60,97,6,7,7,6,282,
"8104419",38,87,11,4,7,54,96,8,0,0,22,328,
"8104420",62,136,18,10,9,56,61,6,8,8,19,395,
"8104421",33,116,12,7,10,39,65,6,10,5,17,321,
"8113502",81,173,45,28,38,43,49,7,9,5,37,525,
"8104631",57,111,17,0,7,14,68,0,0,0,13,282,
"8104632",81,210,24,5,45,33,115,13,20,0,24,565,
"8113908",80,140,14,23,15,29,63,0,4,0,14,379,
"8113909",66,113,11,7,0,15,36,0,0,0,37,282,
"8113910",75,216,18,12,11,23,46,5,6,0,57,471,
"8113503",118,144,25,27,16,60,134,0,5,11,49,576,
"8113504",70,150,15,7,23,31,81,3,9,0,36,418,
"8104633",46,104,13,0,43,37,62,4,13,0,20,333,
"8112003",0,0,0,0,0,0,11,0,0,0,4,13,
"8106010",50,136,17,12,10,52,20,4,4,5,48,344,
"8104021",4,23,0,0,0,0,7,0,0,0,14,50,
"8104022",40,50,14,7,21,27,75,7,0,0,32,260,
"8104023",0,0,0,0,0,0,0,0,0,0,0,0,
"8111507",0,0,0,0,0,0,0,0,0,0,0,3,
"8105307",66,160,24,6,29,479,54,4,0,4,31,845,
"8105308",27,65,9,6,16,360,31,0,0,0,3,513,
"8106116",92,271,29,11,39,44,52,11,5,0,43,601,
"8103618",0,0,0,0,0,0,0,0,0,0,0,0,
"8107317",87,184,17,4,4,9,41,3,0,0,5,352,
"8108419",32,142,4,0,0,3,0,0,0,0,184,365,
"8103926",21,50,20,0,11,25,21,0,4,0,15,170,
"8103920",17,51,13,22,5,43,42,3,3,6,26,231,
"8103921",19,45,7,5,3,35,43,6,0,0,14,175,
"8112409",0,0,0,0,0,0,0,0,0,0,0,0,
"8104422",0,0,3,0,0,0,0,0,0,0,0,0,
"8101803",4,21,0,4,5,35,29,0,0,0,0,97,
"8108113",31,114,3,0,0,0,0,0,0,0,37,188,
"8104301",87,160,11,0,0,0,0,0,0,0,12,276,
"8112301",0,0,0,0,0,0,0,0,0,0,0,0,
"8104904",0,0,0,0,0,0,0,0,0,0,0,0,
"8107101",0,0,0,0,0,0,0,0,0,0,0,0,
"8107515",0,0,0,0,0,0,0,0,0,0,0,0,
"8100621",0,0,0,0,0,0,0,0,0,0,0,0,
"8103201",14,20,0,0,0,0,0,0,0,0,12,39,
"8111506",0,6,0,0,0,0,0,0,0,0,0,13,
"8114001",15,32,0,0,0,10,3,0,0,0,6,59,
"8113202",7,0,0,0,0,0,0,0,0,0,0,4,
"8113201",0,3,0,0,0,0,0,0,0,0,0,4,
"8108901",3,14,0,0,0,0,0,0,0,0,5,22,
"8114101",19,18,0,0,0,0,0,0,0,0,3,41,
"8101202",0,3,0,0,0,0,0,0,0,0,0,4,
"8109210",0,0,0,0,0,0,0,0,0,0,0,0,
"8111101",0,9,0,0,0,0,0,0,0,0,0,14,
"8111201",3,8,0,0,0,0,0,0,0,0,3,16,
"8104302",0,0,0,0,0,0,0,0,0,0,0,0,
"8113801",0,5,0,0,0,0,0,0,0,0,0,5,
"8111601",0,0,0,0,0,0,0,0,0,0,0,0,
"8114002",16,32,4,0,0,0,0,0,0,0,16,68,
"8113901",0,0,0,0,0,0,0,0,0,0,0,0,
"8111504",0,13,7,0,0,0,0,0,0,0,3,20,
"8114003",99,196,4,0,0,0,4,4,0,3,37,353,
"8111505",5,13,0,0,0,0,0,0,0,0,0,22,
"8112201",0,0,0,0,0,0,0,0,0,0,0,0,
"8101203",0,4,0,0,0,0,0,0,0,0,0,4,
"8114004",35,35,0,0,0,0,5,3,0,0,5,84,
"8112101",0,0,0,0,0,0,0,0,0,0,0,0,
"8111701",0,0,0,0,0,0,0,0,0,0,0,0,
"8111802",5,0,0,0,0,0,0,0,0,0,0,9,
"8113401",0,5,0,0,0,0,0,0,0,0,6,10,
"8113505",0,0,0,0,0,0,0,0,0,0,0,0,
"8113701",0,0,0,0,0,0,0,0,0,0,0,0,
"8113601",0,0,0,0,0,0,0,0,0,0,0,0,
"8112004",0,10,0,0,0,3,0,0,0,0,0,11,
"8979991",0,0,0,0,0,0,0,0,0,0,0,0,
"8949999",106,229,24,9,10,34,12,7,3,5,103,541,
"Total",84976,188038,26861,5393,12486,24234,24012,2962,2941,2093,23398,397393,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
