Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by CITP Australian Citizenship"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"CITP Australian Citizenship","Australian","Not Australian","Not stated","Total",
"8103809",283,15,20,323,
"8103807",265,26,6,296,
"8103804",386,31,24,437,
"8103806",264,9,10,285,
"8103813",285,30,30,348,
"8103808",336,51,16,408,
"8103814",263,47,35,342,
"8103810",308,32,11,353,
"8103811",232,29,4,267,
"8103604",381,38,48,468,
"8103610",262,31,14,301,
"8103608",482,74,30,581,
"8103601",450,40,23,518,
"8103616",492,23,17,532,
"8111501",0,0,0,0,
"8111502",89,10,23,120,
"8103805",305,29,13,352,
"8113101",307,24,43,375,
"8104027",111,75,22,206,
"8112001",41,3,4,47,
"8105301",470,122,130,724,
"8107314",244,15,13,268,
"8105113",232,26,21,280,
"8103910",236,136,29,396,
"8100215",0,0,0,0,
"8103911",124,53,18,189,
"8100206",804,619,148,1566,
"8103705",145,20,17,182,
"8113006",0,0,0,0,
"8103913",112,35,11,157,
"8103507",343,34,19,399,
"8103508",292,24,33,346,
"8105306",183,43,50,282,
"8108409",222,13,8,252,
"8103812",404,70,25,496,
"8103605",200,23,9,235,
"8113902",319,35,15,369,
"8113903",201,21,25,252,
"8103606",282,23,18,328,
"8113904",0,0,0,0,
"8109811",0,0,0,0,
"8109402",0,0,0,0,
"8101804",33,3,3,46,
"8111503",0,0,0,0,
"8103607",262,16,21,300,
"8103609",456,85,30,569,
"8103509",354,61,17,438,
"8113905",322,46,33,401,
"8113501",246,23,20,287,
"8100320",310,68,11,389,
"8113906",360,34,12,406,
"8103916",200,147,9,358,
"8103917",108,60,0,172,
"8101915",298,27,8,336,
"8104612",175,23,18,219,
"8110912",409,152,51,609,
"8112002",25,4,3,29,
"8100619",158,29,8,197,
"8100620",386,18,18,421,
"8113907",160,19,19,195,
"8109812",20,90,10,122,
"8103918",91,58,13,169,
"8109813",297,16,12,323,
"8103510",437,50,43,530,
"8103511",263,43,25,329,
"8103512",460,57,42,557,
"8103513",287,47,11,339,
"8103514",237,49,22,304,
"8103521",0,0,0,0,
"8103515",239,42,0,289,
"8103516",423,55,44,522,
"8103517",210,23,4,238,
"8103518",386,25,13,433,
"8103519",261,26,9,298,
"8111801",538,101,24,663,
"8103102",0,0,420,420,
"8103714",368,50,26,445,
"8103611",170,30,12,217,
"8103612",163,28,14,208,
"8103709",0,0,0,0,
"8103613",351,39,22,411,
"8103614",269,12,17,296,
"8103615",377,27,20,419,
"8103710",337,86,7,430,
"8103711",494,77,33,602,
"8103617",343,25,15,385,
"8103712",100,14,5,124,
"8103713",246,28,20,300,
"8111308",0,0,0,0,
"8104424",319,99,8,426,
"8101916",265,28,14,303,
"8113110",642,85,143,870,
"8113111",17,5,3,23,
"8101917",267,36,22,320,
"8101919",353,36,6,394,
"8104416",342,69,22,436,
"8104417",257,51,13,327,
"8104418",149,122,8,282,
"8104419",183,120,28,328,
"8104420",324,55,19,395,
"8104421",215,81,23,321,
"8113502",402,77,40,525,
"8104631",222,41,16,282,
"8104632",470,74,30,565,
"8113908",294,59,21,379,
"8113909",218,27,32,282,
"8113910",376,37,54,471,
"8113503",439,90,57,576,
"8113504",352,39,30,418,
"8104633",247,78,15,333,
"8112003",5,3,4,13,
"8106010",229,72,47,344,
"8104021",28,5,13,50,
"8104022",158,65,32,260,
"8104023",0,0,0,0,
"8111507",7,0,0,3,
"8105307",351,471,28,845,
"8105308",156,347,6,513,
"8106116",465,98,43,601,
"8103618",0,0,0,0,
"8107317",330,14,11,352,
"8108419",171,7,184,365,
"8103926",119,36,19,170,
"8103920",128,75,25,231,
"8103921",125,37,11,175,
"8112409",0,0,0,0,
"8104422",0,0,0,0,
"8101803",68,31,0,97,
"8108113",140,0,40,188,
"8104301",255,5,11,276,
"8112301",0,0,0,0,
"8104904",0,0,0,0,
"8107101",0,0,0,0,
"8107515",0,0,0,0,
"8100621",0,0,0,0,
"8103201",31,0,7,39,
"8111506",9,0,0,13,
"8114001",46,9,6,59,
"8113202",4,0,0,4,
"8113201",4,0,0,4,
"8108901",20,0,5,22,
"8114101",35,0,3,41,
"8101202",3,0,0,4,
"8109210",0,0,0,0,
"8111101",11,0,0,14,
"8111201",10,0,5,16,
"8104302",0,0,0,0,
"8113801",0,0,0,5,
"8111601",0,0,0,0,
"8114002",53,3,14,68,
"8113901",0,0,0,0,
"8111504",16,0,3,20,
"8114003",316,6,30,353,
"8111505",22,0,0,22,
"8112201",0,0,0,0,
"8101203",4,0,0,4,
"8114004",71,8,3,84,
"8112101",0,0,0,0,
"8111701",0,0,0,0,
"8111802",9,0,0,9,
"8113401",5,0,6,10,
"8113505",0,0,0,0,
"8113701",0,0,0,0,
"8113601",0,0,0,0,
"8112004",11,0,0,11,
"8979991",0,0,0,0,
"8949999",371,68,100,541,
"Total",335945,36564,24887,397393,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
