Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA1 by HCFMD Family Household Composition (Dwelling)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HCFMD Family Household Composition (Dwelling)","One family household: Couple family with no children","One family household: Couple family with children","One family household: One parent family","One family household: Other family","Two family household: Couple family with no children","Two family household: Couple family with children","Two family household: One parent family","Two family household: Other family","Three or more family household: Couple family with no children","Three or more family household: Couple family with children","Three or more family household: One parent family","Three or more family household: Other family","Lone person household","Group household","Visitors only household","Other non-classifiable household","Not applicable","Total",
"8101005",57,62,18,6,5,0,0,0,0,0,0,0,26,3,0,8,10,205,
"8101004",43,45,10,0,0,0,0,0,0,0,0,0,22,3,0,3,14,139,
"8101001",37,42,18,0,0,0,0,0,0,0,0,0,26,6,0,9,9,145,
"8101003",43,61,13,0,0,0,0,0,0,0,0,0,22,0,0,5,8,156,
"8101002",24,50,19,0,0,0,0,0,0,0,0,0,15,5,0,3,11,123,
"8113002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8113003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"8113007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"8113005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8113004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8110206",25,34,5,0,0,0,0,0,0,0,0,0,18,0,0,0,13,101,
"8110203",41,61,12,3,0,0,0,0,0,0,0,0,42,0,5,3,16,185,
"8110202",46,75,16,0,0,0,0,0,0,0,0,0,52,6,4,8,22,224,
"8110205",22,42,0,0,0,0,0,0,0,0,0,0,20,0,0,0,9,103,
"8110204",37,54,0,0,0,0,0,0,0,0,0,0,11,0,0,4,9,113,
"8110209",21,49,5,0,0,0,0,0,0,0,0,0,12,0,0,3,5,101,
"8110211",27,50,9,0,0,3,0,0,0,0,0,0,23,3,4,8,11,144,
"8110201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8110210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,
"8110207",65,86,35,3,0,3,0,0,0,0,0,0,111,23,7,7,27,369,
"8107708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8107703",32,41,15,0,0,0,0,0,0,0,0,0,19,0,0,0,11,120,
"8107706",28,38,12,0,0,0,0,0,0,0,0,0,23,0,0,4,8,112,
"8107705",34,60,26,0,0,0,0,0,0,0,0,0,26,0,0,3,5,160,
"8107704",31,40,8,3,0,0,0,0,0,0,0,0,23,6,3,3,6,127,
"8107701",55,77,29,0,3,3,0,0,0,0,0,0,36,3,0,10,13,226,
"8107707",35,53,6,4,0,0,0,0,0,0,0,0,9,0,0,3,7,124,
"8107702",29,37,24,3,0,0,0,0,0,0,0,0,12,7,0,9,6,134,
"8101101",67,84,18,0,4,0,0,0,0,0,0,0,26,9,0,4,15,231,
"8101103",62,89,23,0,3,0,0,0,0,0,0,0,31,8,0,3,19,237,
"8101107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8101102",31,47,9,7,0,0,0,0,0,0,0,0,22,8,0,8,3,130,
"8101108",18,25,13,0,0,0,0,0,0,0,0,0,11,5,0,5,10,85,
"8101104",48,63,17,0,0,0,0,0,0,0,0,0,31,14,0,9,13,199,
"8101110",15,31,10,0,0,0,0,0,0,0,0,0,28,9,0,0,9,106,
"8101105",28,32,20,0,0,0,0,0,0,0,0,0,19,5,0,4,7,119,
"8101106",20,26,10,0,0,0,0,0,0,0,0,0,15,3,0,3,5,86,
"8101109",28,33,0,0,0,5,0,0,0,0,0,0,15,7,0,4,0,93,
"8107805",32,42,22,0,0,0,0,0,0,0,0,0,30,0,0,5,3,144,
"8107821",32,68,11,0,0,0,0,0,0,0,0,0,10,4,0,7,6,142,
"8107819",21,36,12,0,0,0,0,0,0,0,0,0,11,0,0,0,3,86,
"8107818",29,68,12,3,0,5,0,0,0,0,0,0,11,0,0,0,9,136,
"8107809",16,43,11,0,0,0,0,0,0,0,0,0,9,0,6,5,3,88,
"8107820",35,59,10,0,0,4,0,0,0,0,0,0,24,0,0,3,7,141,
"8107810",80,55,23,0,0,0,0,0,0,0,0,0,64,5,5,7,30,266,
"8107801",33,38,40,4,0,0,0,0,0,0,0,0,53,3,0,6,10,196,
"8107813",27,54,14,5,0,0,0,0,0,0,0,0,13,3,0,0,3,123,
"8107802",27,31,8,4,0,0,0,0,0,0,0,0,18,0,0,0,3,95,
"8107807",23,31,9,0,0,0,0,0,0,0,0,0,31,0,0,6,0,103,
"8107804",26,26,21,5,0,0,0,0,0,0,0,0,34,7,0,4,10,130,
"8107803",31,42,20,3,0,0,0,0,0,0,0,0,40,3,0,6,25,171,
"8107814",32,83,16,0,0,5,0,0,0,0,0,0,4,0,0,0,14,158,
"8107815",30,36,27,3,0,0,0,0,0,0,0,0,36,3,0,3,11,142,
"8107811",47,67,30,3,0,0,0,0,0,0,0,0,67,3,0,3,12,238,
"8107808",26,56,24,0,0,0,0,0,0,0,0,0,34,3,0,3,8,158,
"8107817",35,31,9,0,0,0,0,0,0,0,0,0,7,0,0,0,4,85,
"8107812",24,35,24,5,0,0,0,0,0,0,0,0,30,4,0,3,14,134,
"8107816",18,43,8,0,0,0,0,0,0,0,0,0,4,3,0,4,5,89,
"8107806",27,52,26,0,0,0,0,0,0,0,0,0,30,3,0,5,17,154,
"8107903",50,57,27,3,0,0,0,0,0,0,0,0,29,0,0,0,10,179,
"8107904",42,56,6,0,0,0,0,0,0,0,0,0,18,0,0,0,4,135,
"8107906",35,49,15,0,3,0,0,0,0,0,0,0,15,0,0,5,6,133,
"8107905",47,43,23,0,0,0,0,0,0,0,0,0,21,0,0,3,7,149,
"8107907",26,43,17,0,0,0,0,0,0,0,0,0,19,0,5,0,9,119,
"8107901",21,41,7,0,0,0,0,0,0,0,0,0,20,0,0,3,3,103,
"8107908",22,38,11,4,0,0,0,0,0,0,0,0,6,0,0,3,9,93,
"8107909",15,34,21,4,0,0,0,0,0,0,0,0,9,5,0,4,5,102,
"8107902",41,48,12,0,0,0,0,0,0,0,0,0,18,0,0,6,7,142,
"8108009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8108005",25,11,3,4,0,0,0,0,0,0,0,0,24,0,3,0,23,94,
"8108002",46,26,25,3,0,0,0,0,0,0,0,0,79,11,0,6,21,213,
"8108006",35,13,3,0,0,0,0,0,0,0,0,0,69,6,9,19,12,164,
"8108008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8108003",71,40,34,3,0,0,0,0,0,0,0,0,71,6,3,0,25,265,
"8108011",67,63,25,0,0,0,0,0,0,0,0,0,77,22,5,14,26,298,
"8108007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8106405",75,67,12,0,0,0,0,0,0,0,0,0,64,6,7,8,79,323,
"8106416",31,41,9,4,0,0,0,0,0,0,0,0,23,4,0,9,10,125,
"8106417",6,0,0,0,0,0,0,0,0,0,0,0,25,0,8,0,12,60,
"8106402",52,82,11,0,0,0,0,0,0,0,0,0,34,4,0,5,19,214,
"8106403",23,21,3,0,0,0,0,0,0,0,0,0,43,5,6,4,19,126,
"8106404",53,20,13,0,0,0,0,0,0,0,0,0,123,23,3,26,38,304,
"8106407",29,38,11,0,0,0,0,0,0,0,0,0,3,0,0,0,6,90,
"8106413",38,51,5,0,0,0,0,0,0,0,0,0,34,0,0,0,26,165,
"8106409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8106410",21,18,7,0,0,0,0,0,0,0,0,0,44,3,7,3,26,130,
"8106401",35,13,9,4,0,0,0,0,0,0,0,0,70,11,3,11,24,186,
"8106411",78,24,21,0,0,0,0,0,0,0,0,0,180,40,9,14,68,440,
"8106414",5,0,3,0,0,0,0,0,0,0,0,0,64,4,7,8,67,163,
"8106415",16,48,11,0,0,0,0,0,0,0,0,0,20,0,0,5,16,124,
"8104018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8104005",18,61,14,0,5,3,0,0,0,0,0,0,12,11,0,3,9,137,
"8104007",28,86,19,0,0,0,0,0,0,0,0,0,21,6,4,0,3,166,
"8104024",16,44,11,5,0,0,0,0,0,0,0,0,8,3,4,4,0,89,
"8104025",24,32,7,3,0,6,0,0,0,0,0,0,22,20,0,6,3,130,
"8104008",43,80,18,3,0,0,0,0,0,0,0,0,19,7,6,4,4,179,
"8104002",30,49,6,0,0,0,0,0,0,0,0,0,15,4,0,5,4,126,
"8104017",29,39,13,4,0,4,0,0,0,0,0,0,18,15,0,3,0,122,
"8104006",19,46,5,0,0,0,0,0,0,0,0,0,11,5,0,3,5,107,
"8104001",56,68,9,5,0,4,0,0,0,0,0,0,45,23,4,15,14,249,
"8104019",17,31,0,0,0,0,0,0,0,0,0,0,8,4,0,3,0,68,
"8104016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8104020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8104026",74,54,13,3,0,0,0,0,0,0,0,0,88,30,4,19,23,311,
"8104013",23,45,7,0,0,0,0,0,0,0,0,0,23,9,0,5,3,109,
"8104011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8104015",25,56,9,0,0,3,0,0,0,0,0,0,7,3,0,0,9,126,
"8104401",42,92,5,0,0,6,0,0,0,0,0,0,20,8,0,9,8,192,
"8104402",38,94,21,0,0,0,0,0,0,0,0,0,7,5,0,6,15,200,
"8104412",17,47,9,0,0,0,0,0,0,0,0,0,5,4,0,0,12,91,
"8104423",21,58,6,0,0,0,0,0,0,0,0,0,8,3,0,0,11,114,
"8111901",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"8103927",30,73,7,0,0,0,0,0,0,0,0,0,30,12,5,0,3,174,
"8103907",17,36,0,3,0,4,0,0,0,0,0,0,13,6,0,0,8,83,
"8103922",28,72,8,0,0,0,0,0,0,0,0,0,11,4,0,6,13,138,
"8103912",19,65,9,0,0,0,0,0,0,0,0,0,5,5,0,0,10,110,
"8103924",19,68,8,0,0,3,0,0,0,0,0,0,11,10,0,0,0,117,
"8103923",28,73,9,3,0,0,0,0,0,0,0,0,15,12,0,3,3,152,
"8103908",22,26,6,0,0,0,0,0,0,0,0,0,13,9,4,3,4,96,
"8103925",26,67,16,0,0,0,0,0,0,0,0,0,4,3,0,6,6,132,
"8103919",14,34,3,0,0,3,0,0,0,0,0,0,9,4,0,0,3,75,
"8103914",30,78,12,0,0,4,0,0,0,0,0,0,14,3,0,7,3,150,
"8103708",31,90,7,0,0,3,0,0,0,0,0,0,15,0,0,0,3,162,
"8104502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8103703",46,60,12,3,0,0,0,0,0,0,0,0,32,11,4,0,11,179,
"8103707",50,38,3,0,0,0,0,0,0,0,0,0,27,14,0,7,3,143,
"8103702",32,44,13,0,0,0,0,0,0,0,0,0,38,5,3,7,10,163,
"8103704",33,86,14,0,0,7,0,0,0,0,0,0,10,3,0,3,5,153,
"8103706",26,59,0,0,0,0,0,0,0,0,0,0,6,5,0,0,3,101,
"8105604",27,60,18,6,0,0,0,0,0,0,0,0,35,5,0,4,16,175,
"8105602",49,68,26,3,0,0,0,0,0,0,0,0,45,12,0,9,19,238,
"8105606",21,32,5,0,0,0,0,0,0,0,0,0,10,0,0,0,6,77,
"8105605",45,63,9,6,0,0,0,0,0,0,0,0,40,0,0,5,16,190,
"8105601",50,61,18,0,0,0,0,0,0,0,0,0,59,18,0,5,17,233,
"8105603",51,52,19,0,0,0,0,0,0,0,0,0,75,7,0,7,17,229,
"8105607",37,58,6,0,0,0,0,0,0,0,0,0,31,5,0,4,8,142,
"8111303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"8104425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8104411",11,54,15,0,0,0,0,0,0,0,0,0,4,5,5,3,4,107,
"8104413",20,69,5,0,0,0,0,0,0,0,0,0,0,4,0,0,9,102,
"8104405",24,85,16,0,0,0,0,0,0,0,0,0,8,0,0,0,5,143,
"8104404",33,94,17,0,0,4,0,0,0,0,0,0,15,11,0,3,11,191,
"8104409",21,64,7,0,0,0,0,0,0,0,0,0,7,0,0,0,6,108,
"8101304",27,51,9,0,0,0,0,0,0,0,0,0,10,0,0,0,5,102,
"8101302",36,45,29,8,0,0,0,0,0,0,0,0,108,13,0,25,35,308,
"8101310",29,38,3,0,0,0,0,0,0,0,0,0,19,0,0,0,8,96,
"8101303",40,57,16,0,0,0,0,0,0,0,0,0,15,0,0,0,7,134,
"8101307",32,9,12,0,0,0,0,0,0,0,0,0,47,3,0,3,14,123,
"8101305",47,57,14,0,6,0,0,0,0,0,0,0,15,5,0,0,7,141,
"8101306",42,43,16,0,0,3,0,0,0,0,0,0,9,3,0,0,19,134,
"8101308",36,44,3,0,0,0,0,0,0,0,0,0,7,3,0,0,7,110,
"8101309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8101301",23,23,8,4,0,0,0,0,0,0,0,0,36,8,0,0,9,113,
"8101404",54,54,22,0,0,6,0,0,0,0,0,0,20,3,0,9,20,198,
"8101406",25,24,20,0,0,0,0,0,0,0,0,0,23,7,4,4,8,112,
"8101402",44,67,17,0,0,0,0,0,0,0,0,0,36,0,3,12,14,188,
"8101403",53,70,22,0,0,0,0,0,0,0,0,0,44,10,0,0,20,227,
"8101407",54,74,24,3,0,3,0,0,0,0,0,0,55,3,0,8,12,232,
"8101405",29,41,20,3,0,0,0,0,0,0,0,0,34,3,0,3,20,160,
"8101401",28,34,4,0,0,0,0,0,0,0,0,0,42,4,0,4,9,121,
"8109404",85,62,23,0,0,0,0,0,0,0,0,0,87,3,3,10,29,312,
"8109405",59,70,20,0,0,0,0,0,0,0,0,0,23,3,0,4,15,197,
"8109406",42,51,22,0,0,0,0,0,0,0,0,0,77,5,0,5,16,221,
"8109403",27,25,8,0,0,0,0,0,0,0,0,0,18,0,0,0,6,92,
"8109401",53,53,15,0,0,0,0,0,0,0,0,0,23,0,0,4,9,156,
"8109407",42,46,15,0,0,0,0,0,0,0,0,0,33,0,0,4,6,148,
"8101511",28,19,7,0,0,0,0,0,0,0,0,0,26,3,0,6,6,102,
"8101505",49,63,15,0,0,0,0,0,0,0,0,0,49,9,4,12,10,208,
"8101506",33,20,18,6,0,0,0,0,0,0,0,0,82,9,5,4,20,198,
"8101515",36,24,28,0,0,0,0,0,0,0,0,0,103,9,0,18,19,238,
"8101501",80,36,32,4,0,0,0,0,0,0,0,0,127,10,8,0,40,339,
"8101514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8101513",29,20,9,0,0,0,0,0,0,0,0,0,72,9,0,10,13,157,
"8101508",29,47,11,0,0,0,0,0,0,0,0,0,38,4,0,4,11,140,
"8101510",37,41,13,0,0,0,0,0,0,0,0,0,28,0,0,11,9,142,
"8101503",33,35,17,0,0,0,0,0,0,0,0,0,29,4,0,5,4,126,
"8101502",27,28,16,0,0,0,0,0,0,0,0,0,28,4,0,0,5,114,
"8101509",25,53,21,0,0,3,0,0,0,0,0,0,24,5,0,13,9,151,
"8101504",31,44,17,0,0,0,0,0,0,0,0,0,27,6,0,0,9,141,
"8101512",22,28,14,0,0,0,0,0,0,0,0,0,39,10,0,14,5,132,
"8110301",35,24,22,0,0,0,0,0,0,0,0,0,112,5,8,16,25,250,
"8110306",39,56,18,0,0,0,0,0,0,0,0,0,34,5,3,12,14,171,
"8110303",32,40,10,0,0,0,0,0,0,0,0,0,31,0,0,6,12,136,
"8110307",42,65,16,0,0,0,0,0,0,0,0,0,28,7,0,10,8,178,
"8110308",7,21,11,0,0,0,0,0,0,0,0,0,26,4,0,10,13,101,
"8110305",26,33,3,0,0,0,0,0,0,0,0,0,25,0,0,0,8,99,
"8110302",31,55,8,0,0,0,0,0,0,0,0,0,18,0,0,3,7,129,
"8110304",41,66,5,0,0,0,0,0,0,0,0,0,21,3,7,4,15,156,
"8103103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8110401",73,97,21,0,0,0,0,0,0,0,0,0,32,6,0,5,14,253,
"8110406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8110403",64,47,12,0,0,0,0,0,0,0,0,0,31,0,0,5,20,181,
"8110402",27,45,16,4,0,0,0,0,0,0,0,0,41,3,0,6,6,143,
"8110404",48,62,7,0,3,0,0,0,0,0,0,0,33,3,4,3,13,171,
"8110405",82,49,17,0,0,0,0,0,0,0,0,0,52,0,0,4,27,238,
"8108105",30,48,16,0,3,5,0,0,0,0,0,0,13,3,3,4,0,127,
"8108112",22,31,17,0,0,0,0,0,0,0,0,0,51,0,0,3,15,143,
"8108114",13,26,15,0,0,0,0,0,0,0,0,0,28,9,0,3,7,103,
"8108103",37,68,21,0,0,4,0,0,0,0,0,0,15,3,0,5,0,158,
"8108108",44,60,26,0,6,0,0,0,0,0,0,0,31,8,0,8,7,184,
"8108109",26,58,5,0,0,7,0,0,0,0,0,0,5,0,0,3,0,113,
"8108104",20,51,10,0,0,0,0,0,0,0,0,0,9,0,0,7,5,104,
"8108101",33,41,28,0,0,5,0,0,0,0,0,0,42,0,5,4,15,167,
"8108102",25,38,23,3,0,0,0,0,0,0,0,0,43,8,0,0,9,134,
"8108106",28,55,17,5,0,0,0,0,0,0,0,0,23,0,0,4,5,137,
"8108111",26,55,11,0,3,0,0,0,0,0,0,0,9,0,5,0,3,106,
"8111304",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"8111306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8101602",28,18,10,0,0,0,0,0,0,0,0,0,10,3,0,0,7,84,
"8101606",41,73,15,0,0,3,0,0,0,0,0,0,26,7,0,3,8,185,
"8101615",41,59,8,0,0,0,0,0,0,0,0,0,25,10,4,7,9,171,
"8101613",24,39,7,3,0,0,0,0,0,0,0,0,84,24,0,4,22,206,
"8101612",42,58,25,3,0,6,0,0,0,0,0,0,31,9,6,12,10,195,
"8101616",47,62,19,4,0,0,0,0,0,0,0,0,18,19,0,4,17,183,
"8101603",62,45,18,0,0,0,0,0,0,0,0,0,38,13,0,4,12,196,
"8101610",26,27,4,0,3,0,0,0,0,0,0,0,14,7,0,4,4,89,
"8101605",35,48,14,4,0,0,0,0,0,0,0,0,31,12,0,3,14,157,
"8101604",37,46,11,0,0,0,0,0,0,0,0,0,33,12,0,4,11,163,
"8101614",49,69,4,0,0,5,0,0,0,0,0,0,16,0,0,4,4,146,
"8101619",37,57,17,0,0,0,0,0,0,0,0,0,23,5,0,6,7,158,
"8101608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8101618",38,50,9,5,0,0,0,0,0,0,0,0,24,9,0,5,9,141,
"8101607",19,43,3,0,0,0,0,0,0,0,0,0,15,6,0,0,7,99,
"8101601",33,61,15,0,0,0,0,0,0,0,0,0,30,6,0,10,10,157,
"8101617",42,51,11,3,0,3,0,0,0,0,0,0,20,8,0,4,8,156,
"8101609",47,59,14,0,0,0,0,0,0,0,0,0,14,8,0,0,14,166,
"8101611",28,55,5,0,4,0,0,0,0,0,0,0,18,8,0,7,8,126,
"8108240",21,31,4,0,0,0,0,0,0,0,0,0,8,0,0,5,8,77,
"8108219",52,50,34,5,4,0,0,0,0,0,0,0,33,9,0,5,13,210,
"8108235",62,62,27,0,0,0,0,0,0,0,0,0,29,9,0,10,22,222,
"8108203",46,48,28,0,0,0,0,0,0,0,0,0,70,8,0,15,18,231,
"8108207",42,60,29,0,0,0,0,0,0,0,0,0,37,6,0,5,12,198,
"8108226",40,38,21,0,0,0,0,0,0,0,0,0,66,4,3,7,25,207,
"8108214",27,24,15,0,0,0,0,0,0,0,0,0,22,0,0,0,7,100,
"8108225",26,36,7,4,0,0,0,0,0,0,0,0,20,0,0,8,9,110,
"8108217",37,54,12,0,0,0,0,0,0,0,0,0,27,0,0,4,6,154,
"8108211",45,44,14,0,0,0,0,0,0,0,0,0,24,0,4,3,3,130,
"8108210",49,63,18,0,0,0,0,0,0,0,0,0,42,6,0,0,9,188,
"8108209",22,37,8,3,0,0,0,0,0,0,0,0,10,0,0,3,5,96,
"8108241",46,54,18,0,0,0,0,0,0,0,0,0,28,7,0,10,10,170,
"8108215",32,27,50,3,0,0,0,0,0,0,0,0,148,10,0,13,24,312,
"8108204",37,51,8,0,0,0,0,0,0,0,0,0,14,0,0,7,6,126,
"8108213",52,71,24,4,0,0,0,0,0,0,0,0,36,0,0,5,9,206,
"8108227",38,49,14,0,0,0,0,0,0,0,0,0,23,0,0,3,16,146,
"8108220",56,29,33,0,0,0,0,0,0,0,0,0,41,0,5,12,10,185,
"8108228",30,24,8,0,0,0,0,0,0,0,0,0,13,0,3,0,8,87,
"8108230",37,40,21,0,0,0,0,0,0,0,0,0,15,4,0,4,9,127,
"8108229",56,69,18,0,0,0,0,0,0,0,0,0,21,4,0,0,7,175,
"8108224",25,62,19,0,0,3,0,0,0,0,0,0,34,3,0,4,14,161,
"8108233",16,43,16,0,0,0,0,0,0,0,0,0,25,0,0,5,0,106,
"8108201",22,21,23,0,0,0,0,0,0,0,0,0,37,0,4,7,10,123,
"8108238",46,53,8,0,0,0,0,0,0,0,0,0,6,0,0,5,9,135,
"8108232",27,63,0,0,0,0,0,0,0,0,0,0,10,0,0,5,5,110,
"8108212",40,50,17,0,0,3,0,0,0,0,0,0,22,5,0,5,19,155,
"8108218",49,34,10,0,0,0,0,0,0,0,0,0,26,8,0,5,13,149,
"8108236",50,78,15,0,0,0,0,0,0,0,0,0,27,6,0,10,17,211,
"8108202",17,28,4,0,0,0,0,0,0,0,0,0,24,0,3,0,4,98,
"8108222",43,46,22,0,0,0,0,0,0,0,0,0,24,5,0,4,11,150,
"8108231",30,40,15,0,0,0,0,0,0,0,0,0,33,5,3,0,3,139,
"8108223",21,34,16,0,0,0,0,0,0,0,0,0,18,0,0,6,4,100,
"8108208",23,31,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,73,
"8108221",20,43,17,0,0,0,0,0,0,0,0,0,24,3,4,0,11,122,
"8108237",61,63,3,3,0,0,0,0,0,0,0,0,9,0,0,0,9,152,
"8108216",36,42,17,0,0,0,0,0,0,0,0,0,62,7,0,7,6,176,
"8108234",22,33,14,0,0,0,0,0,0,0,0,0,21,0,0,9,8,110,
"8108205",27,34,19,0,0,0,0,0,0,0,0,0,28,7,0,8,10,122,
"8108239",15,47,10,0,0,0,0,0,0,0,0,0,11,5,0,3,11,109,
"8108206",18,39,8,0,0,0,0,0,0,0,0,0,26,4,0,0,5,105,
"8113103",97,37,13,6,0,0,0,0,0,0,0,0,136,41,9,18,61,413,
"8113102",22,22,15,0,0,0,0,0,0,0,0,0,18,3,0,3,15,106,
"8113105",128,35,6,5,0,0,0,0,0,0,0,0,195,48,9,15,68,497,
"8113107",55,12,9,0,0,0,0,0,0,0,0,0,92,22,21,0,85,307,
"8113104",26,11,4,0,0,0,0,0,0,0,0,0,36,17,0,0,23,121,
"8113108",53,32,7,0,0,0,0,0,0,0,0,0,76,31,9,6,55,267,
"8113106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8113109",72,17,10,4,0,0,0,0,0,0,0,0,93,28,6,29,22,288,
"8101709",44,36,8,0,0,0,0,0,0,0,0,0,20,3,0,7,7,131,
"8101707",31,55,24,4,0,0,0,0,0,0,0,0,52,0,0,12,3,184,
"8101708",17,16,15,0,0,0,0,0,0,0,0,0,11,0,0,4,3,68,
"8101703",71,59,25,0,0,0,0,0,0,0,0,0,47,9,7,7,24,248,
"8101705",20,49,16,0,0,0,0,0,0,0,0,0,55,3,0,9,9,162,
"8101706",57,86,19,0,0,0,0,0,0,0,0,0,35,8,0,10,9,215,
"8101702",43,66,32,0,0,0,0,0,0,0,0,0,33,3,0,4,21,206,
"8101704",27,41,6,3,0,0,0,0,0,0,0,0,21,0,0,3,6,117,
"8101701",23,40,12,5,0,3,0,0,0,0,0,0,23,5,0,6,13,119,
"8105705",61,35,7,4,0,3,0,0,0,0,0,0,68,10,0,14,31,238,
"8105704",31,26,13,4,0,0,0,0,0,0,0,0,48,10,0,12,12,153,
"8105703",21,32,8,0,0,0,0,0,0,0,0,0,42,6,0,5,14,133,
"8105709",51,35,12,3,0,0,0,0,0,0,0,0,83,22,3,13,31,249,
"8105702",30,28,7,0,0,0,0,0,0,0,0,0,27,14,0,0,3,112,
"8105708",42,45,22,0,0,0,0,0,0,0,0,0,45,18,3,6,15,201,
"8105714",24,25,14,0,0,0,0,0,0,0,0,0,25,14,4,0,9,114,
"8105706",39,10,3,3,0,0,0,0,0,0,0,0,86,15,0,15,19,194,
"8105715",14,15,6,3,0,0,0,0,0,0,0,0,34,22,6,7,17,121,
"8105711",136,35,25,9,0,3,0,0,0,0,0,0,184,52,16,31,56,531,
"8105713",21,44,20,0,0,0,0,0,0,0,0,0,28,12,0,0,16,140,
"8105712",39,13,12,0,0,0,0,0,0,0,0,0,97,20,7,19,35,241,
"8105701",72,29,6,0,0,0,0,0,0,0,0,0,36,13,15,8,22,202,
"8110505",32,45,13,0,0,0,0,0,0,0,0,0,31,6,8,9,11,149,
"8110507",72,39,18,0,0,0,0,0,0,0,0,0,133,16,5,42,31,375,
"8110503",33,33,11,0,0,0,0,0,0,0,0,0,72,12,3,12,15,190,
"8110506",41,60,17,0,0,0,0,0,0,0,0,0,48,5,3,3,25,206,
"8110502",42,76,30,0,0,0,0,0,0,0,0,0,57,5,7,18,14,243,
"8110501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8110504",113,21,20,0,0,0,0,0,0,0,0,0,130,9,5,20,31,362,
"8102105",66,106,25,0,4,0,0,0,0,0,0,0,26,0,0,7,11,239,
"8102102",42,47,14,0,0,0,0,0,0,0,0,0,26,3,0,0,11,145,
"8102103",62,65,10,0,0,7,3,0,0,0,0,0,19,9,0,13,14,198,
"8102101",73,55,36,0,0,5,0,0,0,0,0,0,54,13,5,10,24,258,
"8102104",46,70,10,0,0,0,0,0,0,0,0,0,27,0,0,7,15,184,
"8101802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8108301",59,89,17,0,0,0,0,0,0,0,0,0,11,0,0,7,8,184,
"8108303",44,69,20,5,0,3,0,0,0,0,0,0,23,0,0,4,5,175,
"8108302",29,73,17,0,0,0,0,0,0,0,0,0,22,0,0,0,4,143,
"8101906",27,38,12,0,0,0,0,0,0,0,0,0,15,0,0,7,10,109,
"8101909",42,46,19,6,0,0,3,0,0,0,0,0,28,0,0,6,8,156,
"8101908",46,74,19,0,0,0,0,0,0,0,0,0,21,3,0,7,5,175,
"8101912",30,39,16,0,0,0,0,0,0,0,0,0,30,6,0,5,7,137,
"8101907",54,72,18,5,0,4,0,0,0,0,0,0,24,4,4,0,13,198,
"8101910",33,48,20,0,0,0,0,0,0,0,0,0,27,5,0,5,6,145,
"8101913",37,47,20,3,0,0,0,0,0,0,0,0,21,3,4,4,13,152,
"8101911",41,54,26,5,0,0,0,0,0,0,0,0,40,6,3,5,5,182,
"8102006",21,37,17,5,0,0,0,0,0,0,0,0,32,6,0,5,3,121,
"8102007",30,23,11,5,0,0,0,0,0,0,0,0,54,7,0,9,14,155,
"8102008",30,46,12,0,0,0,0,0,0,0,0,0,26,14,6,0,10,159,
"8102003",18,33,15,0,0,0,0,0,0,0,0,0,19,7,0,3,8,103,
