Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"8105607",59,57,29,31,74,59,26,19,27,0,0,377,
"8111303",0,5,4,0,3,0,0,0,0,0,0,14,
"8104425",0,0,0,0,0,0,0,0,0,0,0,0,
"8104411",70,69,50,55,57,33,13,5,0,0,0,351,
"8104413",64,78,27,57,77,38,7,0,0,0,0,352,
"8104405",105,69,32,104,81,47,10,0,0,0,0,453,
"8104404",112,98,69,118,121,34,24,9,5,0,0,594,
"8104409",73,48,42,68,64,30,13,4,0,0,0,346,
"8101304",34,53,14,19,48,43,37,43,11,0,0,298,
"8101302",76,42,151,128,80,36,33,25,5,0,0,567,
"8101310",31,23,20,17,24,36,31,35,18,0,0,247,
"8101303",35,74,37,25,64,59,37,43,5,0,0,376,
"8101307",24,5,24,40,32,15,38,16,11,4,0,208,
"8101305",40,71,49,20,51,58,54,50,15,0,0,401,
"8101306",50,47,32,29,52,36,61,25,11,0,0,341,
"8101308",36,46,18,23,52,38,45,30,11,0,0,300,
"8101309",0,0,0,0,0,4,0,0,0,0,0,4,
"8101301",30,15,21,49,23,28,17,20,17,5,0,218,
"8101404",76,71,64,68,86,53,50,38,4,0,0,509,
"8101406",35,31,36,45,41,33,15,22,5,0,0,259,
"8101402",83,50,49,85,56,46,41,48,12,0,0,474,
"8101403",84,57,82,79,81,63,67,42,14,0,0,576,
"8101407",80,70,88,86,88,91,58,42,6,0,0,610,
"8101405",49,48,54,56,47,43,29,36,8,0,0,379,
"8101401",26,25,31,39,38,24,32,37,15,0,0,267,
"8109404",69,37,63,91,89,76,69,89,33,7,0,614,
"8109405",83,74,30,51,95,48,78,40,19,0,0,516,
"8109406",71,46,57,99,66,57,37,34,13,0,0,483,
"8109403",33,35,11,29,39,25,36,17,3,0,0,221,
"8109401",62,49,27,59,65,38,47,40,12,3,0,413,
"8109407",49,27,31,49,46,53,39,40,7,0,0,347,
"8101511",34,24,28,32,38,23,32,14,4,0,0,219,
"8101505",81,62,50,86,68,60,62,43,17,4,0,520,
"8101506",33,16,56,45,45,31,54,20,14,5,0,309,
"8101515",58,21,58,66,45,24,40,42,72,33,0,449,
"8101501",68,40,52,81,80,59,101,69,25,0,0,562,
"8101514",0,0,0,0,0,0,0,0,0,0,0,0,
"8101513",35,11,71,73,27,18,13,5,3,0,0,254,
"8101508",43,36,33,47,53,50,32,15,10,0,0,326,
"8101510",62,39,46,45,64,28,45,32,5,0,0,369,
"8101503",43,44,26,62,47,33,42,18,3,0,0,319,
"8101502",34,31,33,46,26,24,31,13,8,0,0,243,
"8101509",62,56,43,67,60,42,34,27,8,0,0,400,
"8101504",58,45,35,54,41,37,43,25,8,0,0,350,
"8101512",36,31,43,25,47,32,34,27,4,0,0,281,
"8110301",43,35,67,83,56,44,48,14,5,0,0,397,
"8110306",54,64,21,45,53,59,47,56,104,82,5,584,
"8110303",38,41,33,32,49,43,29,22,15,0,0,315,
"8110307",62,72,45,47,72,71,41,34,25,0,0,485,
"8110308",32,23,16,27,28,23,20,13,13,3,0,199,
"8110305",46,26,17,21,47,33,28,24,8,0,0,259,
"8110302",50,58,26,32,51,67,43,18,15,3,0,350,
"8110304",42,77,22,30,64,80,36,27,23,8,0,406,
"8103103",0,0,0,0,0,0,0,0,0,0,0,5,
"8110401",51,69,75,67,68,114,112,63,24,4,0,644,
"8110406",0,0,0,0,0,0,0,0,0,0,0,0,
"8110403",50,36,30,34,51,66,81,44,16,6,0,421,
"8110402",53,34,30,49,47,46,24,31,10,5,0,328,
"8110404",35,46,36,41,53,77,65,49,17,0,0,418,
"8110405",48,56,41,48,42,79,79,78,56,4,0,527,
"8108105",67,43,54,53,48,53,40,12,7,0,0,374,
"8108112",58,16,36,52,26,32,30,27,8,3,0,292,
"8108114",44,30,42,54,30,15,10,12,5,0,0,236,
"8108103",66,76,57,66,59,90,42,16,6,0,0,478,
"8108108",67,57,79,80,64,63,23,18,5,0,0,458,
"8108109",56,54,47,44,56,63,13,8,3,0,0,351,
"8108104",49,52,38,52,52,47,26,9,3,0,0,319,
"8108101",64,24,57,70,48,53,34,9,11,4,0,377,
"8108102",35,35,44,42,44,45,32,11,3,0,0,292,
"8108106",59,58,70,53,42,70,26,6,3,0,0,384,
"8108111",42,53,53,46,60,54,23,11,5,0,0,342,
"8111304",0,5,5,0,0,3,0,0,0,0,0,12,
"8111306",0,0,0,0,0,0,0,0,0,0,0,0,
"8101602",8,25,16,28,27,32,32,7,0,0,0,176,
"8101606",72,60,67,93,61,65,62,21,8,0,0,506,
"8101615",61,50,66,48,64,60,62,35,5,0,0,452,
"8101613",45,25,102,78,53,37,39,20,14,4,0,416,
"8101612",56,62,64,78,57,60,86,36,7,0,0,504,
"8101616",54,58,77,63,67,46,66,46,17,0,0,505,
"8101603",43,32,98,55,45,62,86,38,13,0,0,480,
"8101610",21,37,38,33,31,33,30,16,5,0,0,240,
"8101605",49,41,51,51,60,57,49,19,0,0,0,382,
"8101604",62,50,52,70,57,48,62,12,3,0,0,410,
"8101614",55,46,31,48,54,63,97,27,8,0,0,422,
"8101619",51,65,58,51,56,59,61,22,12,0,0,440,
"8101608",0,0,0,0,0,0,0,0,0,0,0,0,
"8101618",49,63,51,46,63,50,43,18,10,0,0,393,
"8101607",44,28,25,37,38,28,42,6,3,0,0,253,
"8101601",57,48,60,58,58,56,56,22,7,4,0,426,
"8101617",44,57,56,46,57,52,58,20,10,3,0,411,
"8101609",45,49,63,65,61,54,57,36,12,3,0,453,
"8101611",75,50,37,50,51,49,54,16,15,3,0,393,
"8108240",28,23,15,13,36,29,38,16,5,0,0,203,
"8108219",65,75,61,68,71,70,77,21,3,0,0,522,
"8108235",85,88,74,67,85,56,83,36,4,0,0,579,
"8108203",60,61,55,57,63,53,78,48,15,3,0,493,
"8108207",69,69,67,78,70,66,51,27,4,3,0,508,
"8108226",50,25,56,67,38,44,59,36,26,11,0,416,
"8108214",16,28,26,25,28,40,36,11,3,0,0,220,
"8108225",61,30,20,46,35,29,30,23,4,0,0,281,
"8108217",44,45,44,35,54,60,53,41,6,0,0,379,
"8108211",50,43,20,61,49,24,57,22,4,0,0,330,
"8108210",67,70,43,62,72,59,73,23,16,0,0,476,
"8108209",34,30,22,35,37,29,39,24,7,0,0,261,
"8108241",46,57,48,45,58,65,74,22,5,0,0,423,
"8108215",64,36,82,87,90,48,42,28,11,0,0,497,
"8108204",38,44,20,33,62,42,53,45,5,0,0,335,
"8108213",85,77,52,82,77,49,94,24,4,0,0,547,
"8108227",58,32,34,58,44,32,60,26,9,0,0,360,
"8108220",58,52,49,47,37,64,64,37,9,0,0,418,
"8108228",23,13,15,28,14,30,34,19,8,0,0,190,
"8108230",53,35,26,33,49,40,61,25,3,0,0,312,
"8108229",72,64,43,60,64,66,82,30,3,0,0,496,
"8108224",80,61,43,64,55,69,44,27,3,0,0,447,
"8108233",34,26,33,49,42,34,31,13,0,0,0,263,
"8108201",27,41,32,25,39,47,47,19,3,0,0,287,
"8108238",26,59,30,21,53,74,58,33,9,0,0,356,
"8108232",26,53,34,21,52,85,43,14,0,0,0,336,
"8108212",42,67,37,44,57,48,55,21,9,0,0,381,
"8108218",47,28,28,50,39,47,63,36,7,0,0,334,
"8108236",101,80,40,80,82,55,77,37,21,0,0,579,
"8108202",31,24,14,32,26,22,37,12,4,0,0,220,
"8108222",37,58,39,44,62,48,73,17,4,0,0,388,
"8108231",41,46,49,42,55,36,40,22,5,0,0,334,
"8108223",41,33,25,30,45,25,39,17,5,0,0,268,
"8108208",35,29,18,30,37,23,14,19,5,0,0,222,
"8108221",55,50,41,46,47,37,40,7,3,5,0,321,
"8108237",37,73,34,14,55,101,71,30,6,3,0,424,
"8108216",52,29,52,59,46,44,51,28,7,0,0,369,
"8108234",37,27,25,24,45,36,48,9,9,0,0,258,
"8108205",31,28,36,41,37,50,43,7,0,0,0,279,
"8108239",52,48,38,44,47,31,29,9,4,0,0,310,
"8108206",40,42,30,30,48,24,36,13,0,3,0,281,
"8113103",59,28,186,168,91,63,37,13,6,3,0,654,
"8113102",31,26,46,31,26,45,32,9,6,0,0,256,
"8113105",39,11,245,239,105,56,32,18,3,3,0,751,
"8113107",13,17,112,79,31,61,39,40,19,4,0,405,
"8113104",9,11,37,48,22,19,10,10,4,3,0,165,
"8113108",36,14,120,101,44,50,36,24,18,16,0,452,
"8113106",0,0,0,0,0,0,0,0,0,0,0,0,
"8113109",20,19,153,120,44,52,39,9,4,0,0,473,
"8101709",37,28,36,45,39,35,54,18,5,0,0,304,
"8101707",72,53,78,69,70,39,48,30,13,3,0,466,
"8101708",32,24,23,25,29,29,16,9,0,0,0,181,
"8101703",56,73,88,80,73,70,70,39,13,0,0,568,
"8101705",57,36,43,70,46,38,45,24,12,0,0,361,
"8101706",79,91,63,90,92,94,50,19,8,0,0,587,
"8101702",101,71,52,91,72,65,43,20,4,0,0,521,
"8101704",55,40,22,54,59,30,38,29,7,0,0,337,
"8101701",54,44,21,42,46,27,38,25,5,0,0,305,
"8105705",44,41,55,71,66,71,71,43,14,0,0,482,
"8105704",29,20,44,62,41,20,50,26,15,0,0,306,
"8105703",38,18,34,37,38,32,49,26,11,6,0,284,
"8105709",32,32,101,114,62,41,26,21,13,0,0,432,
"8105702",28,26,40,50,35,37,21,11,11,3,0,267,
"8105708",47,56,68,65,66,59,46,24,20,3,0,443,
"8105714",23,32,57,32,47,27,28,13,10,5,0,274,
"8105706",16,15,103,73,26,20,50,37,83,70,0,493,
"8105715",14,17,98,45,27,15,9,3,4,0,0,236,
"8105711",54,47,309,252,94,51,33,14,4,0,0,857,
"8105713",55,49,46,50,40,37,24,14,13,0,0,321,
"8105712",12,10,138,99,21,37,19,3,0,0,0,343,
"8105701",37,30,44,39,54,60,52,37,18,0,0,379,
"8110505",43,62,27,47,69,37,34,28,20,0,0,373,
"8110507",61,51,149,148,80,67,46,32,14,3,0,651,
"8110503",36,24,77,75,52,26,31,30,8,0,0,369,
"8110506",63,71,53,66,77,63,38,31,15,3,0,494,
"8110502",80,84,84,82,80,71,42,42,8,5,0,594,
"8110501",0,0,0,0,0,0,0,0,0,0,0,0,
"8110504",29,31,102,87,44,46,61,100,93,10,0,609,
"8102105",113,114,66,91,108,100,95,34,7,0,0,724,
"8102102",42,49,46,45,52,53,59,21,17,3,0,387,
"8102103",44,66,86,58,80,81,97,27,9,0,0,553,
"8102101",76,57,90,73,63,79,91,45,27,3,0,599,
"8102104",56,54,63,57,62,88,79,18,9,0,0,476,
"8101802",0,0,0,0,0,0,0,0,0,0,0,0,
"8108301",64,59,64,71,73,101,72,13,9,0,0,522,
"8108303",61,50,78,47,64,89,71,10,8,0,0,477,
"8108302",59,67,46,55,57,66,55,14,3,0,0,429,
"8101906",39,22,44,34,36,42,30,21,0,0,0,274,
"8101909",67,38,47,79,53,29,61,20,8,0,0,409,
"8101908",82,76,32,80,80,50,54,39,8,0,0,507,
"8101912",54,34,45,53,45,20,56,17,4,0,0,335,
"8101907",90,73,52,66,86,59,77,27,12,0,0,549,
"8101910",61,39,41,52,54,47,44,18,4,3,0,374,
"8101913",68,43,50,66,59,47,37,21,0,0,0,384,
"8101911",60,61,58,70,69,48,48,28,6,0,0,440,
"8102006",50,40,42,50,39,34,25,22,10,3,0,316,
"8102007",23,39,40,42,51,40,32,28,10,0,0,311,
"8102008",48,43,69,63,57,40,37,37,16,0,0,407,
"8102003",56,26,22,45,37,23,16,33,5,3,0,272,
"8102001",49,36,46,31,47,36,24,13,0,0,0,284,
"8102005",50,27,99,111,51,27,43,17,21,5,0,458,
"8102002",51,44,66,48,43,44,29,40,15,0,0,373,
"8102004",43,32,27,39,40,28,17,27,14,0,0,277,
"8111401",20,10,11,26,18,12,4,3,0,0,0,100,
"8110607",49,56,51,50,61,61,44,48,29,10,0,470,
"8110602",62,61,64,75,90,85,44,53,12,4,0,540,
"8110601",84,68,53,91,69,71,43,29,14,0,0,521,
"8110603",74,57,70,69,55,64,37,20,19,7,0,476,
"8110604",34,21,31,46,30,25,29,34,12,0,0,259,
"8110605",63,20,159,159,63,41,23,9,7,0,0,542,
"8110606",34,50,17,23,37,70,91,84,33,12,0,448,
"8102205",76,67,54,82,96,75,69,40,11,7,0,564,
"8102207",87,67,45,71,59,67,53,31,6,0,0,492,
"8102208",27,38,22,15,44,46,43,37,5,0,0,282,
"8102201",33,29,21,36,32,29,23,17,6,0,0,217,
"8102204",67,54,68,76,73,58,52,34,5,5,0,497,
"8102202",39,35,24,23,39,39,49,35,6,0,0,295,
"8102206",68,53,19,50,61,33,29,24,5,0,0,342,
"8102203",64,34,71,66,65,44,44,52,17,0,0,461,
"8104503",0,0,0,0,0,0,0,0,0,0,0,0,
"8104504",0,0,0,0,0,0,0,0,0,0,0,3,
"8108405",47,39,54,39,40,83,66,21,3,0,0,395,
"8108404",40,44,40,54,50,41,40,25,12,6,0,350,
"8108410",26,44,36,27,40,62,14,9,6,3,0,272,
"8108414",27,18,36,51,32,26,21,19,11,0,0,244,
"8108406",35,23,39,46,18,42,44,5,10,0,0,254,
"8108415",56,47,47,58,53,44,39,20,6,0,0,367,
"8108417",42,40,19,38,39,49,27,28,54,14,0,349,
"8108413",27,19,27,39,26,29,40,14,5,0,0,227,
"8108408",46,29,49,46,31,71,65,19,3,0,0,364,
"8108418",33,33,39,31,38,34,23,4,5,0,0,240,
"8108401",12,40,20,15,45,30,38,9,0,0,0,204,
"8108412",49,37,48,51,40,63,42,41,28,4,0,394,
"8108407",26,32,30,39,36,50,44,15,5,0,0,274,
"8108411",41,43,56,41,51,60,48,11,7,4,0,364,
"8108403",50,32,37,42,34,43,56,10,0,0,0,301,
"8108402",42,24,18,23,32,30,40,14,5,0,0,229,
"8108420",0,0,0,0,0,0,0,0,0,0,0,0,
"8106708",62,68,29,37,79,68,36,22,9,5,0,412,
"8106709",48,29,21,40,42,36,18,16,12,4,0,275,
"8106712",51,68,36,23,70,81,33,15,9,3,0,383,
"8106710",44,59,18,38,57,48,33,10,12,0,0,322,
"8106701",64,46,23,68,53,46,28,16,14,0,0,364,
"8106714",33,36,17,31,31,46,43,20,0,6,0,267,
"8106716",32,40,15,26,41,36,21,8,7,4,0,235,
"8106707",26,22,54,63,41,47,26,0,3,0,0,275,
"8106719",30,32,93,102,65,49,15,17,4,0,0,414,
"8106713",38,44,20,25,38,62,38,29,17,8,0,335,
"8106718",0,5,5,3,0,7,15,49,92,81,4,260,
"8106715",28,37,44,43,69,82,48,18,6,6,0,389,
"8106703",35,45,25,34,40,52,24,11,16,3,0,279,
"8106704",46,18,43,57,38,50,52,27,6,0,0,335,
"8106706",72,32,37,74,80,58,39,16,9,3,0,421,
"8106705",44,47,37,62,54,56,39,19,6,3,0,356,
"8106702",38,22,20,38,34,44,39,27,14,0,0,272,
"8106717",38,31,76,82,50,44,21,22,17,3,0,383,
"8104628",53,52,53,75,60,27,27,8,0,0,0,356,
"8104636",53,44,50,54,40,38,17,11,4,0,0,316,
"8104637",45,51,39,41,55,33,24,19,6,0,0,316,
"8104617",85,63,54,71,95,60,45,25,8,0,0,510,
"8104605",48,27,53,58,41,20,12,4,4,0,0,259,
"8104618",68,57,56,71,73,27,12,14,5,0,0,384,
"8104622",74,46,42,63,56,42,19,14,4,0,0,353,
"8104613",61,64,41,57,67,54,37,13,7,0,0,402,
"8104630",62,44,54,49,52,34,15,9,0,0,0,317,
"8104616",35,24,49,40,22,18,12,8,0,0,0,212,
"8104602",63,25,125,106,53,36,16,5,0,0,0,433,
"8104625",64,58,60,81,55,48,25,16,3,0,0,423,
"8104604",53,31,33,47,43,25,29,6,0,0,0,275,
"8104606",68,46,61,75,50,34,11,7,0,0,0,352,
"8104626",47,47,66,54,65,33,20,6,0,0,0,340,
"8104635",43,34,29,50,48,42,21,11,0,0,0,276,
"8104609",48,44,33,69,40,26,15,8,9,0,0,290,
"8104634",63,36,53,83,45,29,13,10,3,0,0,329,
"8104601",36,32,48,36,30,41,13,4,0,0,0,241,
"8104619",48,55,43,59,52,28,27,10,6,0,0,327,
"8104620",52,33,76,59,44,31,13,7,5,0,0,316,
"8104627",80,33,55,86,46,43,23,11,11,0,0,380,
"8104623",64,59,101,79,71,67,29,24,7,0,0,512,
"8104621",52,48,62,71,54,28,32,14,0,0,0,362,
"8104614",49,58,29,40,67,38,17,9,0,0,0,304,
"8104603",20,59,27,11,45,42,25,10,7,0,0,249,
"8104607",29,19,22,37,37,27,20,8,10,0,0,224,
"8104629",0,0,0,0,0,0,11,18,10,3,0,37,
"8104624",0,0,0,0,0,0,0,0,0,0,0,0,
"8104719",41,80,44,28,84,73,54,12,7,0,0,421,
"8104715",31,46,20,25,31,66,48,26,4,0,0,297,
"8104716",50,79,38,32,67,79,54,17,5,0,0,429,
"8104711",69,90,49,72,81,78,31,15,10,0,0,493,
"8104706",36,73,28,39,71,48,35,22,6,0,0,355,
"8104710",48,87,42,30,71,83,48,19,3,0,0,434,
"8104703",60,94,48,34,71,101,50,17,4,0,0,476,
"8104707",29,30,14,25,41,39,12,3,0,0,0,192,
"8104717",54,108,52,37,93,95,57,20,5,0,0,525,
"8104702",27,38,26,38,44,69,75,51,10,0,0,378,
"8104718",47,109,60,32,93,94,43,23,0,0,0,506,
"8104708",43,49,24,54,61,34,35,29,9,0,0,338,
"8104709",46,24,31,38,41,26,35,25,19,0,0,289,
"8104713",65,61,54,54,70,61,48,26,6,0,0,450,
"8104712",47,31,38,47,51,37,24,16,0,0,0,296,
"8104701",28,41,43,21,46,68,39,16,10,0,0,308,
"8104704",28,37,23,23,33,50,21,14,9,0,0,236,
"8104705",52,83,54,31,84,68,42,15,9,0,0,440,
"8111301",18,19,34,35,40,62,33,7,5,0,0,249,
"8105807",80,73,84,53,80,74,70,19,25,4,0,561,
"8105812",53,38,85,50,46,47,41,12,5,0,0,382,
"8105811",38,59,93,49,81,69,74,30,26,0,0,508,
"8105808",58,50,100,67,90,68,46,20,10,6,0,516,
"8105809",47,54,49,27,72,41,28,18,11,0,0,339,
"8105802",48,55,91,60,72,59,52,19,13,6,0,474,
"8105814",0,0,0,0,0,0,0,0,0,0,0,9,
"8105806",33,23,70,60,33,33,32,18,9,0,0,306,
"8105804",32,46,66,24,46,39,36,16,8,4,0,322,
"8105803",39,33,151,91,37,27,20,4,13,0,0,409,
"8105813",35,22,184,134,76,46,33,25,0,0,0,557,
"8105801",80,88,60,51,101,90,33,15,20,8,0,542,
"8105805",43,24,43,30,45,29,23,8,3,3,0,252,
"8105810",25,30,88,29,37,41,26,14,10,0,0,303,
"8110702",72,112,69,40,101,101,98,45,11,3,0,648,
"8110701",28,41,30,22,30,55,71,46,18,7,0,342,
"8108603",63,66,47,58,61,76,57,11,4,0,0,439,
"8108601",51,42,46,34,47,45,31,6,11,0,0,312,
"8108602",22,35,40,26,34,47,35,13,0,0,0,252,
"8108605",55,47,76,55,44,86,67,21,10,0,0,458,
"8108604",21,31,23,27,28,45,40,9,5,0,0,231,
"8102301",71,59,59,76,70,64,39,39,17,4,0,490,
"8102303",80,33,116,106,53,44,29,30,16,0,0,510,
"8102307",16,3,27,33,10,10,29,127,220,100,0,580,
"8102305",45,33,65,42,57,38,28,21,6,0,0,329,
"8102306",57,26,42,75,48,27,32,16,12,0,0,335,
"8102304",63,41,87,121,63,46,37,40,13,0,0,507,
"8102302",33,25,51,41,31,29,28,21,5,0,0,268,
"8104813",46,41,40,39,51,39,23,12,11,0,0,294,
"8104801",38,79,29,37,71,59,15,7,3,0,0,340,
"8104808",53,46,58,60,55,49,28,8,5,4,0,381,
"8104803",40,38,44,55,55,42,23,5,0,0,0,302,
"8104809",38,64,75,54,59,83,72,22,8,3,0,470,
"8104802",73,67,92,103,56,68,39,13,8,0,0,510,
"8104814",82,53,62,94,71,83,48,34,14,0,0,536,
"8104811",32,68,22,26,54,60,47,20,0,3,0,337,
"8104810",41,43,38,29,52,41,46,19,0,0,0,316,
"8104805",86,56,93,90,76,52,33,10,7,0,0,507,
"8104804",73,26,56,78,49,34,26,17,14,0,0,370,
"8104807",49,39,47,43,48,44,34,10,5,0,0,326,
"8104806",43,37,41,64,49,39,25,11,0,0,0,313,
"8104812",73,45,76,106,81,55,44,27,6,0,0,519,
"8112601",0,0,0,0,0,0,0,0,0,0,0,0,
"8106801",0,0,0,0,0,0,0,0,0,0,0,4,
"8110806",42,78,27,14,61,65,43,26,21,5,0,377,
"8110802",24,30,28,17,33,21,28,33,13,0,0,225,
"8110807",77,52,48,80,67,69,62,51,29,3,0,544,
"8110804",53,46,51,63,69,58,51,48,29,3,0,473,
"8110801",0,0,0,0,0,0,0,0,0,0,0,0,
"8110805",48,74,32,49,71,52,34,41,8,0,0,416,
"8110803",50,68,71,55,73,90,58,51,21,0,0,541,
"8110904",0,0,0,0,0,0,0,0,0,0,0,0,
"8110908",50,12,76,124,59,46,16,14,0,0,0,395,
"8110907",52,13,60,97,53,22,14,3,0,5,0,328,
"8110906",63,10,110,151,45,29,18,6,3,0,0,444,
"8110910",47,14,75,102,55,53,40,26,4,3,0,417,
"8110911",0,0,0,0,0,0,0,0,0,0,0,0,
"8110903",0,0,0,0,0,3,0,0,0,0,0,4,
"8110905",41,15,37,51,32,41,27,12,4,0,0,258,
"8110914",0,0,0,0,0,3,0,0,0,0,0,7,
"8110901",17,0,58,66,27,16,13,16,29,0,0,252,
"8110913",15,23,29,34,42,40,30,15,4,0,0,229,
"8106909",34,70,25,12,50,86,41,19,13,3,0,353,
"8106903",40,71,21,24,60,69,49,16,15,0,0,359,
"8106902",15,111,14,18,33,30,35,28,10,0,0,290,
"8106904",47,35,56,61,56,55,35,8,6,0,0,358,
"8106906",62,95,94,56,94,66,43,21,24,33,0,588,
"8106905",73,76,65,72,81,98,54,30,35,8,0,586,
"8106907",25,52,26,20,43,55,56,35,15,4,0,335,
"8106901",44,60,20,31,48,51,29,13,7,0,0,306,
"8106908",0,0,0,0,0,0,0,0,0,0,0,0,
"8112704",25,34,34,14,26,59,41,33,9,0,0,277,
"8112703",23,42,89,61,47,82,57,39,19,5,0,462,
"8112701",12,28,65,35,61,65,51,19,9,0,0,343,
"8112702",36,20,193,102,65,55,33,38,4,0,0,550,
"8108703",95,68,93,81,86,76,68,16,12,0,0,594,
"8108701",78,52,55,72,56,62,37,14,4,0,0,429,
"8108707",37,37,41,36,29,37,41,22,8,0,0,280,
"8108704",39,24,64,25,24,44,23,9,3,0,0,260,
"8108706",67,80,76,78,89,71,74,36,8,0,0,591,
"8108705",66,76,76,63,64,66,52,15,0,0,0,471,
"8108702",56,51,57,63,48,59,28,12,5,0,0,380,
"8109501",42,20,23,46,34,30,32,17,4,0,0,255,
"8109508",82,49,43,77,62,53,73,34,18,0,0,490,
"8109502",51,39,24,60,53,43,34,20,13,0,0,334,
"8109504",42,31,26,42,51,35,53,59,23,4,0,363,
"8109505",68,50,47,68,68,41,56,42,13,0,0,461,
"8109507",61,35,46,59,48,48,40,34,11,0,0,378,
"8109506",65,32,38,46,46,36,16,14,4,0,0,307,
"8109509",41,46,49,42,43,43,39,30,5,0,0,342,
"8109503",38,32,31,46,41,31,25,16,3,0,0,250,
"8112801",0,0,0,0,0,0,0,0,0,0,0,0,
"8102406",49,39,70,65,53,53,46,30,7,0,0,404,
"8102405",52,25,33,42,44,35,31,11,6,0,0,276,
"8102407",42,19,72,63,40,39,13,10,3,0,0,302,
"8102408",84,55,78,93,77,50,39,29,12,0,0,519,
"8102402",87,68,76,87,86,48,35,43,24,4,0,553,
"8102401",36,22,32,47,36,26,19,19,7,0,0,248,
"8102404",42,30,33,48,34,23,19,22,8,3,0,258,
"8102403",47,38,69,57,55,37,37,27,9,0,0,375,
"8102504",83,62,65,95,71,60,60,24,13,0,0,543,
"8102501",56,35,34,54,43,34,38,21,3,0,0,320,
"8102506",75,76,55,74,59,61,73,49,10,0,0,546,
"8102502",59,55,58,74,57,52,54,23,3,0,0,424,
"8102503",54,72,48,61,72,66,64,24,13,0,0,479,
"8102505",38,41,19,40,43,24,46,16,3,0,0,273,
"8109603",80,71,44,58,99,69,99,30,12,0,0,566,
"8109604",53,31,39,64,34,25,60,64,107,42,0,516,
"8109605",53,35,25,45,48,35,46,25,4,0,0,325,
"8109601",38,45,29,34,53,63,68,42,18,0,0,381,
"8109602",37,39,31,32,64,48,46,28,15,0,0,343,
"8111302",16,7,29,13,24,42,73,62,16,0,0,278,
"8111307",11,7,26,30,38,57,36,13,0,0,0,223,
"8111305",4,5,6,7,8,6,5,0,0,0,0,41,
"8111309",0,0,3,0,0,4,6,0,0,0,0,21,
"8108804",50,58,59,62,69,75,28,14,0,0,0,410,
"8108808",52,44,46,61,38,49,23,9,0,0,0,326,
"8108807",88,55,57,79,85,64,25,0,9,0,0,462,
"8108806",44,54,46,36,47,43,29,11,3,0,0,307,
"8108801",58,89,90,60,69,83,35,14,0,0,0,504,
"8108810",33,28,27,33,28,28,17,12,9,0,0,207,
"8108803",33,68,46,46,53,70,52,3,0,0,0,380,
"8108802",38,47,44,30,39,60,11,12,9,0,0,288,
"8108809",77,98,96,62,91,98,43,6,0,5,0,563,
"8108805",64,33,63,74,37,43,25,10,5,0,0,350,
"8111002",55,62,50,58,77,57,48,40,3,3,0,456,
"8111003",37,33,35,21,40,32,21,15,13,0,0,250,
"8111005",23,54,29,18,49,44,32,30,6,5,0,290,
"8111006",25,57,35,8,52,60,30,29,10,3,0,303,
"8111001",81,64,34,63,89,50,37,46,15,0,0,488,
"8111004",72,53,39,60,71,31,35,45,12,0,0,415,
"8108501",0,0,0,0,0,0,0,0,0,0,0,0,
"8106006",34,46,132,50,51,62,35,25,12,3,0,442,
"8106013",8,3,67,39,9,4,4,6,0,0,0,143,
"8106012",16,14,171,95,29,49,25,23,7,0,0,445,
"8106003",35,9,204,160,55,39,30,23,5,0,0,564,
"8106007",30,23,91,33,43,36,44,23,11,0,0,336,
"8106002",53,22,217,160,87,75,77,41,23,5,0,754,
"8106011",9,20,94,35,23,30,36,6,5,0,0,256,
"8106009",18,16,68,77,24,26,11,5,4,5,0,248,
"8109005",67,36,47,53,37,50,62,17,9,0,0,371,
"8109019",79,85,52,63,65,78,52,29,8,0,0,502,
"8109011",71,51,45,65,61,57,90,26,7,0,0,472,
"8109014",77,63,49,62,71,51,66,46,10,0,0,491,
"8109018",51,27,36,36,33,64,69,29,10,0,0,347,
"8109003",45,60,40,51,69,50,104,28,16,0,0,468,
"8109010",60,66,48,46,62,105,84,41,10,0,0,526,
"8109007",48,27,65,93,43,61,43,36,11,9,0,437,
"8109013",37,48,33,31,46,40,53,18,3,0,0,307,
"8109008",64,53,60,74,72,54,63,25,4,0,0,467,
"8109016",87,52,39,82,68,70,68,20,4,0,0,491,
"8109015",40,54,32,43,41,34,39,23,4,0,0,309,
"8109009",51,32,29,53,31,36,57,13,9,0,0,316,
"8109006",48,48,36,50,54,49,43,20,4,0,0,350,
"8109020",42,45,47,45,40,38,28,13,0,0,0,301,
"8109017",22,17,25,29,25,27,16,0,6,0,0,179,
"8109002",9,16,25,12,18,26,35,14,0,0,0,160,
"8109001",44,32,24,35,27,26,26,7,4,3,0,212,
"8109012",34,31,35,34,41,38,41,19,4,0,0,265,
"8109004",57,66,70,66,71,95,67,40,15,0,0,546,
"8109707",67,52,45,62,69,40,43,31,7,3,0,409,
"8109702",69,52,20,65,65,42,42,36,10,0,0,401,
"8109701",62,37,43,62,68,56,61,62,31,0,0,485,
"8109703",56,53,44,44,77,60,38,33,22,5,0,416,
